real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num,,,
3813162540,328.076107,5.467935117,0.091132252,0.000141214,-1196.75259,80.79459804,86.26022569,80.93167745,1.42090091,1.330271636,1.375586273,80.86313774,62.81059582,113,213,5,32,0,,,
3813162541,328.1945891,5.469909819,0.091165164,-1.29E-05,-1196.627421,117.6260179,126.6514511,117.2699749,2.317428778,2.407090645,2.362259711,117.4479964,91.2279543,121,223,5,33,0,,,
3813162541,328.4468935,5.474114891,0.091235248,3.44E-05,-1196.394925,91.99477163,102.5377652,92.09135996,0.699432953,1.685564937,1.192498945,92.04306579,71.49462617,114,214,5,34,0,,,
3813162542,329.1932902,5.486554837,0.091442581,9.27E-05,-1195.713062,145.106216,156.7026864,144.9143676,2.723424928,2.636601014,2.680012971,145.0102918,112.6370196,131,236,5,35,0,,,
3813162542,329.3000293,5.488333821,0.09147223,4.84E-05,-1195.61356,89.46648084,95.77613285,89.42855987,1.688861636,1.712122307,1.700491972,89.44752035,69.47853132,114,214,5,36,0,,,
3813162542,329.4882007,5.491470011,0.0915245,6.45E-05,-1195.46181,128.4812977,137.5979371,128.1385778,2.659000479,2.469788007,2.564394243,128.3099378,99.66498787,121,223,5,37,0,,,
3813162542,329.7390358,5.495650597,0.091594177,7.03E-05,-1195.249726,99.52462382,107.535034,99.75285176,2.04360477,1.813669262,1.928637016,99.63873779,77.39457882,116,218,5,38,0,,,
3813162543,330.1816006,5.503026676,0.091717111,-0.000437885,-1194.778407,181.4198724,196.9036743,181.4896685,4.232468284,4.191985661,4.212226973,181.4547704,140.9453376,142,250,5,39,0,,,
3813162543,330.4186282,5.506977137,0.091782952,-0.000108526,-1194.669021,126.9886971,136.3151006,127.0215406,1.854350933,1.655616899,1.754983916,127.0051189,98.65146731,123,227,5,40,0,,,
3813162543,330.6300507,5.510500844,0.091841681,9.70E-06,-1194.534424,111.555406,120.2952466,111.6630968,2.640470037,2.904844269,2.772657153,111.6092514,86.69269799,120,222,5,42,0,,,
