real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num,total_volume_au,total_volume_fl,total_density_gcm3
3815062701.01045,1157.20880818367,19.2868134697278,0.321446891162131,0.000105788101503168,738.793794866822,22.0583407275693,23.9898152942663,22.1115300391233,0.0702884912505388,0.162161129783484,0.116224810517012,22.0849353833463,16.7956749078445,138,245,0,3,0,57.9903904179567,510.202832098214,0.0329196034423645
3815062701.17977,1157.37813162804,19.2896355271339,0.321493925452232,0.000216675060884994,738.839231022374,39.5401552801396,43.9838295023018,39.6113215795957,0.0967381583005807,0.214653014551884,0.155695586426232,39.5757384298677,30.0974952096614,165,279,0,4,0,148.620676566369,1307.57336769084,0.0230178251969243
3815062706.86915,1163.06750655174,19.384458442529,0.323074307375484,0.000192743244753588,738.619310761213,98.8462431389355,108.811022192797,98.7114384703358,0.510491396480813,0.43005956152833,0.470275479004572,98.7788408046357,75.1216731736259,167,286,0,10,0,192.513520947541,1693.74516875507,0.0443524058751067
3815062708.48849,1164.68685412407,19.4114475687345,0.323524126145575,8.92959983474625e-05,738.583659109716,47.9367689463389,52.1951818969385,47.9082945346614,0.276402800945262,0.193739239094716,0.235071020019989,47.9225317405001,36.4452623430019,163,280,0,13,0,162.173940977341,1426.81577728345,0.0255430749528091
3815062711.00315,1167.20151257515,19.4533585429192,0.324222642381986,5.29945480120004e-05,738.557129334707,132.226352277353,146.310697539496,132.207802129251,0.733184077930112,0.725933422524923,0.729558750227517,132.217077203302,100.551575425781,177,296,0,16,0,233.13038458808,2051.09470047909,0.0490233704968836
3815062711.53427,1167.73263382912,19.4622105638186,0.324370176063644,-2.72335458939758e-05,738.554585212241,55.7461385118506,60.9786688527409,55.6022208374222,0.415865780932392,0.390809496424064,0.403337638678228,55.6741796746364,42.3404192199377,180,299,0,17,0,210.779837887972,1854.4532889771,0.0228317528791962
3815062713.09495,1169.29330825806,19.4882218043009,0.324803696738349,1.53728454193562e-05,738.511424712338,97.603744541129,107.713121328616,97.6775830602753,0.277470494674781,0.368484572456566,0.322977533565673,97.6406638007021,74.2560853594063,173,292,0,18,0,228.950133765334,2014.31661029425,0.036864157789256
3815062715.55711,1171.75547194481,19.5292578657468,0.32548763109578,7.93734728777069e-05,738.506432636509,38.92712060092,43.1753598264704,39.0091883801867,0.225737129051177,0.253604728911419,0.239670928981298,38.9681544905534,29.635425380304,173,290,0,19,0,151.672562884441,1334.42404125071,0.0222084018754097
3815062716.57091,1172.76926851273,19.5461544752121,0.325769241253535,-0.000172136766523033,738.527594316918,85.6123470688034,91.8785695271411,85.5051098493507,-0.101800490424971,-0.108191368777721,-0.104995929601346,85.558728459077,65.0677289194525,181,303,0,20,0,228.630125216545,2011.50115644558,0.0323478456430173
3815062717.08917,1173.28752970695,19.5547921617826,0.325913202696376,-0.000366270450192103,738.653796273091,54.9721059581069,60.0494666769544,55.331765799665,0.196022553311378,0.0877614797968827,0.14189201655413,55.1519358788859,41.9432508848798,189,312,0,22,0,172.895816819177,1521.14746535252,0.0275734285072483
3815062724.83629,1181.0346558094,19.6839109301567,0.328065182169278,0.00036629400541666,738.372711478238,82.971079852868,91.6914145420209,82.6801012169815,0.515657602969297,0.266900051192392,0.391278827080844,82.8255905349247,62.9891674359999,157,271,0,29,0,109.054026324519,959.463674610022,0.0656503931340622
3815062727.48338,1183.68174314499,19.7280290524165,0.328800484206941,0.000691170773367612,738.488098194559,95.1411982781159,104.937010759383,95.0074450690358,0.137582720864781,0.331741319189058,0.23466202002692,95.0743216735758,72.3043726954868,168,285,0,35,0,287.024856445318,2525.26140254506,0.0286324309327405
