labels,avg_buoyant_mass_h2o,avg_density_h2o_gcm3,total_volume_fl,total_density_gcm3
data_11_21_2024\00h\2024-11-21_hum_cd8Tnaiv_0h_untreat_300mOsmL_rep1.csv,11.4350460840878,1.00704903801388,146.301,1.08521013113072
data_11_21_2024\00h\2024-11-21_hum_cd8Tnaiv_0h_untreat_300mOsmL_rep2.csv,11.4189631055958,1.00707540824151,144.004,1.08637156047059
data_11_21_2024\01h_aqpi_250\2024-11-21_hum_cd8Tnaiv_1h_20uMaqp3i_250mOsmL_rep1.csv,11.3065782947432,1.00731907635621,164.967,1.07585750097897
data_11_21_2024\01h_aqpi_250\2024-11-21_hum_cd8Tnaiv_1h_20uMaqp3i_250mOsmL_rep2.csv,11.0999145225424,1.00720250825098,161.258,1.0760357724769
data_11_21_2024\01h_aqpi_300\2024-11-21_hum_cd8Tnaiv_1h_20uMaqp3i_300mOsmL_rep1.csv,10.9272519222254,1.00895740056876,168.339,1.07386958326098
data_11_21_2024\01h_aqpi_300\2024-11-21_hum_cd8Tnaiv_1h_20uMaqp3i_300mOsmL_rep2.csv,11.125855869853,1.00885450912098,167.206,1.07539432150722
data_11_21_2024\01h_dmso_300\2024-11-21_hum_cd8Tnaiv_1h_dmso_300mOsmL_rep1.csv,11.0421443584045,1.0084227094136,166.958,1.07455996763665
data_11_21_2024\01h_dmso_300\2024-11-21_hum_cd8Tnaiv_1h_dmso_300mOsmL_rep2.csv,11.2728368047627,1.00836372037696,165.633,1.07642284388956
data_11_21_2024\01h_wnki_250\2024-11-21_hum_cd8Tnaiv_1h_10uMwnk463_250mOsmL_rep1.csv,10.8928604035714,1.00728175327334,129.98,1.09108588008955
data_11_21_2024\01h_wnki_250\2024-11-21_hum_cd8Tnaiv_1h_10uMwnk463_250mOsmL_rep2.csv,11.201857581027,1.00729663479657,131.967,1.09218041317319
data_11_21_2024\01h_wnki_300\2024-11-21_hum_cd8Tnaiv_1h_10uMwnk463_300mOsmL_rep1.csv,11.0763101803241,1.00832403948946,137.665,1.08878247249948
data_11_21_2024\01h_wnki_300\2024-11-21_hum_cd8Tnaiv_1h_10uMwnk463_300mOsmL_rep2.csv,10.9626252532136,1.00886214470026,136.245,1.08932473234174
data_11_21_2024\24h_aqpi_250\2024-11-22_hum_cd8Tact_20uMaqp3i_250mOsmL_24h_rep1.csv,10.9622784368187,1.00774869505757,207.213,1.06065212503937
data_11_21_2024\24h_aqpi_250\2024-11-22_hum_cd8Tact_20uMaqp3i_250mOsmL_24h_rep2.csv,11.4688409593398,1.00766851270583,205.522,1.06347198366923
data_11_21_2024\24h_aqpi_300\2024-11-22_hum_cd8Tact_20uMaqp3i_300mOsmL_24h_rep1.csv,11.4580646756035,1.00909773279398,215.614,1.06223929445326
data_11_21_2024\24h_aqpi_300\2024-11-22_hum_cd8Tact_20uMaqp3i_300mOsmL_24h_rep2.csv,11.09443485535,1.00873265128725,211.279,1.06124347751868
data_11_21_2024\24h_dmso_300\2024-11-22_hum_cd8Tact_dmso_300mOsmL_24h_rep1.csv,14.1971822151674,1.00951515402317,246.147,1.06719281093212
data_11_21_2024\24h_dmso_300\2024-11-22_hum_cd8Tact_dmso_300mOsmL_24h_rep2.csv,12.3944249782697,1.00961046755148,235.176,1.06231323049613
data_11_21_2024\24h_wnki_250\2024-11-22_hum_cd8Tact_10uMwnk463_250mOsmL_24h_rep1.csv,9.72569162969191,1.00716985851475,151.38,1.0714167314814
data_11_21_2024\24h_wnki_250\2024-11-22_hum_cd8Tact_10uMwnk463_250mOsmL_24h_rep2.csv,10.2492137144821,1.00714298653691,152.73,1.07424973514217
data_11_21_2024\24h_wnki_300\2024-11-22_hum_cd8Tact_10uMwnk463_300mOsmL_24h_rep1.csv,9.93578216199483,1.00909915044176,161.473,1.07063130852389
data_11_21_2024\24h_wnki_300\2024-11-22_hum_cd8Tact_10uMwnk463_300mOsmL_24h_rep2.csv,9.74094699618835,1.00902788672567,161.976,1.06916609853599
