mass_pg,volume_fl,density_gcm3,node_dev_hz,snacs
63.15607074177,2075.65239136661,1.03542709415337,0.534961927229991,0.000269869425580905
70.8806946757519,1928.36132823848,1.04175695713132,0.72101626457576,0.000396619368873124
43.525463561809,1513.87193391961,1.0337510869226,-0.120314760138151,-2.69810562935628e-05
71.1941785241964,1860.75314689488,1.04326094753246,0.252334598701264,0.000163183935574538
41.927777141168,1143.01840400055,1.04168162909225,0.470951426897039,0.000491158971324453
56.0250589974732,1414.34545482127,1.04461200483693,-0.650771208106021,-0.000400478388003276
59.4979242129738,2078.73045712517,1.03362224104575,-0.438896681079601,-0.000199220525088795
138.800281029817,3477.28523417863,1.04491627711915,0.209941875860986,-2.81756451619856e-05
106.109622996255,3495.79199844012,1.03535352876933,-0.611775537383291,-0.000264883744841369
76.9046975281234,2274.40872539378,1.0388130506929,0.558762323356244,0.000243533191538805
41.6294846101865,1631.02405949722,1.03052352576762,-0.108764983420608,-2.26070792144148e-05
131.712686995448,3590.43014617123,1.04168437530693,1.45065235348431,0.000307354225052826
60.6331981728125,1836.33875352382,1.03801852561596,0.648772905955254,0.000382625890705064
45.274551783608,1263.12505560021,1.04084328533654,-0.424308081017058,-0.000265412723802402
66.9109943836571,3480.5782402783,1.02422410294052,-0.358021214546405,-0.000191649994957853
136.071323084067,4477.44931829337,1.03539036590054,0.233892463918734,-0.000108161242044742
159.043850493935,4448.74836626445,1.04075024645134,-3.650946926653,-0.000979005685620057
94.4691728236814,3156.44296636879,1.03492899723842,-2.29362049958834,-0.000792149912475281
52.4362255989126,1286.92978874798,1.04574521085562,0.153144817759346,0.000187796659889133
222.260289684543,5157.7897076946,1.04809215812986,-3.02690430068879,-0.000796133115394378
54.1181020190563,1978.6523333354,1.03235099092817,-1.44286841525043,-0.000710112134090052
64.8836017052219,1544.75391642809,1.04700254876534,-0.113645401825786,-2.3293260902113e-05
70.9468691079539,2419.2192751696,1.03432634913922,-1.0019506803358,-0.000426705971200756
82.8908647355023,2492.91771022032,1.03825054188338,-0.682168432059035,-0.0002914799642863
55.1154167970998,1921.06389166465,1.03369004879861,-0.00372987345372585,2.13010058931394e-05
83.2735579518665,2230.76612520958,1.0423295779467,-0.610559051751743,-0.000272704607861774
46.4013271353549,1515.33247176736,1.03562121877533,0.0779494328903778,0.000103829366016419
175.915772636953,6554.14020211178,1.03184040426542,-0.462968582622388,-0.000380218834318705
92.5653779626324,1759.81732001102,1.05759942433232,1.00624736261384,0.000606616761686651
60.4690597396864,1964.04015852227,1.03578809742118,-0.341581967395498,-0.000153762706505024
89.3743506390643,2418.8123732449,1.04194968308731,-0.550010181086316,-0.00023990244586629
74.7547368441322,2251.85883572972,1.0381969018919,0.953271377677343,0.000422805869702855
61.7285804270618,1742.5445405145,1.0404243917397,-0.0740504082267429,-6.42878942137464e-06
76.3000446446277,2501.71516899818,1.03549909341805,-0.375596637338103,-0.000168605015125223
66.5329211745146,1985.93157017984,1.03850212171132,-0.0779360387558491,-2.06613629260576e-05
52.8876303148506,1930.25416837831,1.03239930895178,-1.14309384997149,-0.000569616242045429
84.5292971097892,2087.69288561068,1.04548933523336,0.891629386015295,0.000438360920876064
83.7842088388031,2471.25010110893,1.03890357325679,-1.36021038579392,-0.00056669475238845
118.493858805138,3998.86486100436,1.03463187377514,-0.762439443113702,-0.000316683274980582
48.9052576870773,1590.10567976165,1.03575597949842,1.11372183322554,0.000747424871284938
69.2704862466233,1941.5479672507,1.0406779680003,0.210691509465038,0.000130288351482134
48.869652710859,1543.29753510773,1.03666573625574,0.260324322922291,0.000219060552320657
71.1536506551926,2182.32424435285,1.03760452741581,-0.862315448451502,-0.000390661711889233
62.7551168907825,1839.60020004085,1.039113454048,0.636023985706469,0.000374834969183596
61.0260017046771,1890.00699294317,1.03728877032336,-0.224233692727284,-9.31681361623468e-05
108.848311769293,3818.11248492008,1.03350840885364,0.200560280255068,-6.05060484163061e-05
