row_labels,avg_fluid_density_h2o_gcm3,avg_buoy_mass_h2o_pg,avg_fluid_density_d2o_gcm3,avg_buoy_mass_d2o_pg,dry_density_gcm3,dry_vol_fl,dry_mass_pg
-n,1.02281036278511,71.959160630461,1.13664236199428,56.2898860531574,1.54556941430135,137.652634462754,212.751701623637
-p,1.02294760029832,47.2368632194115,1.13021080830727,35.2764025369232,1.44657488520823,111.505714815932,161.301366609918
high,1.02296298744601,17.5299482714273,1.13055519922443,12.9954793815412,1.43890715923004,42.1449546852394,60.6426770220164
high replicate,1.02301138193962,16.3729623999892,1.12730619847621,13.5410688964041,1.6260054943614,27.1527732405732,44.1505584763212
low,1.02098438700217,52.0718280297009,1.14012378062678,50.602259937204,5.24250093193625,12.3348629516064,64.6655305191026
