times_h,volumes_fl,counts,counts_normalized,labels
0.25,241.926,5805,6.60409556313993,ActivationAfter3dStarvation
16,544.149,4783,5.44141069397042,ActivationAfter3dStarvation
24,705.479,6171,7.02047781569966,ActivationAfter3dStarvation
38,762.322,14428,16.4141069397042,ActivationAfter3dStarvation
47,675.197,21134,24.0432309442548,ActivationAfter3dStarvation
2,787.615,5235,5.95563139931741,Starvation
0,778.655,879,1,Starvation
18,486.134,11423,12.995449374289,Starvation
26,413.432,13599,15.4709897610922,Starvation
40,332.325,16488,18.7576791808874,Starvation
49,299.339,15926,18.1183162684869,Starvation
