fwd_lin_slope_l,fwd_lin_slope_r,fwd_lin_slope_avg,bck_lin_slope_l,bck_lin_slope_r,bck_lin_slope_avg,bck_pk_a_l,bck_pk_a_r,bck_pk_a_mean,bck_pk_a_absmean,bck_pk_c_l,bck_pk_c_r,bck_pk_c_mean,bck_pk_c_absmean,bck_pk_imbal_inner,bck_pk_imbal_outer,bck_pk_slope_inner,bck_maxcurv_l,bck_maxcurv_r,bck_maxcurv_avg,bck_maxcurv_whole,bck_avgcurv_l,bck_avgcurv_r,bck_avgcurv_avg,bck_avgcurv_whole,bck_vtx_pos_l,bck_vtx_pos_r,bck_vtx_pos_avg,bck_pk_a_full,bck_vtx_pos_full,mean_bl_val,bl_vert_yval_l,bl_vert_yval_r,bl_vert_yval_avg,bl_vert_yval_whole
0.00127581433505284,0.000701025505550756,0.000988419920301797,0.00983236470199805,-0.0050291125092499,0.00240162609637407,1.93250661080634e-05,-7.96686664746489e-05,-3.01718001832928e-05,4.94968662913562e-05,-994.356908321947,-990.101343552043,-992.229125936995,992.229125936995,-3.47964809829739,-3.70522317483415,0.00644379277462479,1.93213594306907e-05,-7.9630267195978e-05,-3.01544538826436e-05,-1.17795285203339e-05,1.93193959881245e-05,-7.9657866337953e-05,-3.01544538826436e-05,-1.17815904782025e-05,-2.15514663297483,0.169456955268978,-0.992844838852929,-1.17868627368163e-05,0.833633250343038,-992.060561168485,-995.184120849402,-990.079818222243,-992.631969535822,-990.157881975267
0.000564679342319234,0.00150542674003464,0.00103505304117694,0.00545713952742856,0.00201680672702297,0.00373697312722577,-1.47007582315552e-05,-5.0277391637214e-05,-3.24890749343846e-05,3.24890749343846e-05,-555.591046106267,-553.590149313883,-554.590597710075,554.590597710075,-1.70173280508504,-2.598849989065,0.00368340434001092,-1.46985513704181e-05,-5.02686860837494e-05,-3.24836187270838e-05,-3.06393571513326e-06,-1.46994058009301e-05,-5.02751841544018e-05,-3.24836187270838e-05,-3.06399741003369e-06,2.1676343876413,0.674614245743885,1.42112431669259,-3.06420256585862e-06,1.28348086708429,-554.314486375477,-554.739990852583,-553.303124264876,-554.021557558729,-553.178540080019
-0.00216176922814663,0.000344947639646639,-0.000908410794249997,0.0218346035736389,-0.0214570052769499,0.000188799148344505,2.63878740662689e-05,-3.19946384008466e-05,-2.80338216728886e-06,2.91912562335578e-05,-988.276214226388,-977.468137711013,-982.872175968701,982.872175968701,-8.60520134691626,-8.93123001275808,0.0187886492290748,2.63577565215552e-05,-3.19380066531113e-05,-2.79012506577808e-06,-3.97537456232686e-05,2.63500240805449e-05,-3.19502239821341e-05,-2.79012506577808e-06,-3.98162896713956e-05,-4.15420436623886,-3.2313543402909,-3.69277935326488,-3.99608213067696e-05,0.817776804377743,-982.840136542406,-991.883330416742,-974.762115274823,-983.322722845783,-978.1941026054
-0.0033476059998579,-4.46837678571229e-05,-0.00169614488385751,0.0127310617402164,-0.00148456090733194,0.00562325041644223,8.67186299765361e-05,0.000135294538959343,0.00011100658446794,0.00011100658446794,-997.551090287696,-996.512701118656,-997.031895703176,997.031895703176,0.0631443194263284,-0.908059988166997,-0.000126795822141222,8.67135796410457e-05,0.000135294538953849,0.000111004059297448,-1.15815305916513e-05,8.66703547535898e-05,0.000135269868106515,0.000111004059297448,-1.15826268130839e-05,-0.261901252982602,0.550881669995328,0.144490208506363,-1.15840539147248e-05,0.530766193695831,-996.932534949057,-997.607057158942,-996.907021352126,-997.257039255534,-995.891511289908
-0.00407960660200309,-0.00186824998636181,-0.00297392829418245,0.00811829728931011,0.00791532753918086,0.00801681241424548,-2.16165121307828e-05,-2.39915464978774e-05,-2.28040293143301e-05,2.28040293143301e-05,-972.608030348276,-967.011302830049,-969.809666589162,969.809666589162,-4.70922907473334,-6.96300538726598,0.014670495559917,-2.16091021543148e-05,-2.39831621686344e-05,-2.27961321614746e-05,-4.67704621752697e-07,-2.16120933462385e-05,-2.3986835662658e-05,-2.27961321614746e-05,-4.67708638511418e-07,2.06066666541086,1.85917984357234,1.9599232544916,-4.67935354412616e-07,24.3792424435673,-969.265234426645,-971.286236870607,-965.797154382806,-968.541695626706,-884.968791508062
0.000423917794783125,-0.00236240313815967,-0.00096924267168827,0.0172654009325664,-0.00221440168168135,0.00752549962544252,-5.49392632236721e-06,-8.74133313843293e-05,-4.64536288533483e-05,4.64536288533483e-05,-974.778945899204,-969.819613115105,-972.299279507154,972.299279507154,-3.31967676489342,-4.64698417758746,0.00619342680017428,-5.4887117508516e-06,-8.73833508797736e-05,-4.64360313153126e-05,-1.5387412071837e-05,-5.4890145749922e-06,-8.74056322632277e-05,-4.64360313153126e-05,-1.53917699821604e-05,16.6939908901743,0.365650307998486,8.52982059908642,-1.54020353829939e-05,0.7902876387507,-971.855958663625,-960.372838645226,-969.707369483327,-965.040104064276,-969.61066952566
0.000925508960984002,-0.000108984429618143,0.00040826226568293,0.0265476136775598,-0.0197596100291522,0.0033940018242038,1.51759684538853e-05,-8.89145190251862e-05,-3.68692752856505e-05,5.20452437395358e-05,-977.80229549141,-966.714469307172,-972.258382399291,972.258382399291,-8.53667914986761,-9.35071799626758,0.0176377668385694,1.51470653285482e-05,-8.87105605894558e-05,-3.67817476304538e-05,-4.05095304765277e-05,1.51438992151707e-05,-8.88047863169198e-05,-3.67817476304538e-05,-4.05764645849941e-05,-9.33325418527018,-0.740175193344768,-5.03671468930747,-4.07330213044095e-05,0.793235226400469,-972.040006063535,-988.273644043124,-966.319896861203,-977.296770452163,-967.137496477107
0.00117772178596968,-0.00214589777183686,-0.000484087992933592,0.011760960407004,-0.00536171901130655,0.00319962069784874,-5.90680989828957e-05,-4.2053437102641e-05,-5.05607680427684e-05,5.05607680427684e-05,-983.029905201189,-979.8712390479,-981.450572124545,981.450572124545,-2.42589643687074,-2.44283556441303,0.0045514004444104,-5.90142869013658e-05,-4.20421943577691e-05,-5.05282406295675e-05,-1.36407918062778e-05,-5.9041659218665e-05,-4.20490965253965e-05,-5.05282406295675e-05,-1.36433500913252e-05,1.52117781940248,-0.155600813950398,0.682788502726043,-1.36483347274072e-05,0.683137787905278,-981.214883538111,-981.743859414222,-979.861460432225,-980.802659923224,-979.608240571037
0.00212447403678338,0.00104078840071135,0.00158263121874736,0.0257811602605924,0.0254412352358221,0.0256111977482072,-8.88857490187588e-06,-6.20477747043576e-05,-3.54681748031168e-05,3.54681748031168e-05,-825.236215728017,-811.117464730396,-818.176840229207,818.176840229207,-11.6312926263254,-16.6186751972832,0.0206962502247782,-8.86955907705222e-06,-6.18565991805503e-05,-3.53630791288013e-05,-2.24930138060681e-07,-8.87086660139229e-06,-6.1924683714044e-05,-3.53630791288013e-05,-2.24931530248528e-07,14.0489859095358,2.39364145298908,8.22131368126243,-2.25240555356387e-07,61.2619844558112,-816.713140383573,-805.150392062269,-806.970866899802,-806.060629481036,-314.648426115247
0.00292535791730716,0.00319737512170781,0.00306136651950749,0.0139338091288782,0.0177187514502917,0.015826280289585,-2.02422465690586e-05,8.43741678376357e-06,-5.90241489264751e-06,1.43398316764111e-05,-935.859010125087,-921.314537163409,-928.586773644248,928.586773644248,-12.7651574978067,-16.6779318129052,0.0409139663391242,-2.02259558539907e-05,8.43037034601971e-06,-5.89779275398549e-06,3.80365576066808e-06,-2.02303378314669e-05,8.42946583237181e-06,-5.89779275398549e-06,3.80297891888744e-06,3.31702008207861,-8.04073529954535,-2.36185760873337,3.81482889521604e-06,-7.35959051479544,-927.580714643574,-932.544078509213,-929.567525972414,-931.055802240814,-1000.88153241603
