real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3805887347.63123,386.55886554718,6.44264775911967,0.107377462651994,261.600745833855,-0.000241818144267941,96,187,4,2,0,17.3906029472808,18.1311240776069,17.3204965487449,0.124500749622473,0.0421419111004046,0.0833213303614386,17.3555497480129,13.9494330900479
3805887347.68308,386.610715866089,6.44351193110148,0.107391865518358,261.629453510842,-1.18185057203299e-05,128,234,4,3,0,122.847518133907,131.501249757212,122.798508714195,0.815299884274069,0.876900119444325,0.846100001859197,122.823013424051,98.7183599800995
3805887347.97275,386.900380849838,6.44833968083064,0.107472328013844,261.636003017804,-7.2577683241826e-06,118,221,4,5,0,73.5300115807295,79.7467745645134,73.3204557761458,0.725164651033554,0.568915217963921,0.647039934498737,73.4252336784377,59.0151507263992
3805887348.10310,387.030734777451,6.45051224629084,0.107508537438181,261.621653863591,-8.27122033409538e-05,112,210,4,6,0,44.3330532372599,48.7041427500573,44.4722768283858,0.503033120195767,0.421529788262596,0.462281454229182,44.4026650328229,35.6884117119995
3805887348.66809,387.595726251602,6.45992877086004,0.107665479514334,261.670247422918,-6.72713395881512e-05,96,182,4,7,0,6.07010916928516,6.59042890117162,6.08279584559526,-0.230848839380978,0.00272614088993792,-0.11406134924552,6.07645250744021,4.88391718545799
3805887348.81814,387.745777606964,6.46242962678274,0.107707160446379,261.650895517811,0.000110472232633541,104,202,4,8,0,40.1881737504041,42.1749350916284,40.1906244330229,0.261635763343955,0.248964345274347,0.255300054309151,40.1893990917135,32.3020210652376
3805887349.23614,388.163772821426,6.46939621369044,0.107823270228174,261.68627406284,0.00010596130486779,113,210,4,9,0,40.4828011618669,42.188139805571,40.3053392304046,0.365932973450785,0.320140938757377,0.343036956104081,40.3940701961357,32.4665244038271
3805887349.65646,388.584096908569,6.47640161514282,0.107940026919047,261.675278150776,6.04610509790936e-05,101,194,4,10,0,15.6426611389693,17.2509314818369,15.5629100071933,0.0259967109630901,-0.160292046871203,-0.0671476679540564,15.6027855730813,12.5406579756992
3805887350.02556,388.953199148178,6.4825533191363,0.108042555318938,261.706812417035,3.6773742326632e-05,104,201,4,12,0,26.5015751528364,27.5960785328138,26.4791477420716,0.0367254290096771,0.280699227163104,0.158712328086391,26.490361447454,21.2914906129524
3805887350.68598,389.613610744476,6.49356017907461,0.108226002984577,261.707565300547,-2.929452791871e-05,118,218,4,16,0,55.5180139719521,61.4672416908043,55.4644353289088,0.261979317990959,0.526866131767067,0.394422724879013,55.4912246504304,44.6007839904135
