labels,dry_density_gcm3,dry_volume_fl,avg_buoyant_mass_h2o,avg_buoyant_mass_d2o,avg_density_h2o_gcm3,avg_density_d2o_gcm3,total_volume_fl,water_content
Rep1_wnk,1.53819267428135,84.4956060282908,44.9035313918029,38.1519745010286,1.00676230171537,1.08666653825655,743,0.88627778461872
Rep2_wnk,1.32406258933922,146.789354812662,46.5465070959338,32.9881329740191,1.00696529604204,1.09933149071071,738.6,0.801260012438854
Rep3_wnk,1.37433719719478,122.685436088726,45.0865485645526,33.6666953893993,1.00684004348253,1.09992242994358,742.4,0.834744832854626
Rep1_dmso,1.94062178210184,52.3454078852618,48.8508543951214,44.0316731777839,1.00738128654205,1.09944631023812,1136,0.95392129587565
Rep2_dmso,1.3998980769468,127.255417597951,50.0258715355959,37.9416497515817,1.00678419244683,1.10174456436744,1039,0.877521253514965
Rep3_dmso,1.37181933865914,136.836315957179,49.9533553274496,36.9095116500902,1.00676014382462,1.10208457276819,1077,0.872946781841059
