mass_pg,volume_fl,density_gcm3,snacs
105.02560319312,3129.5835106555,0.0335589712929955,0.000334798309237619
208.96611380824,5444.64914046579,0.0383800881226964,5.93955263278075e-05
131.165761605035,3389.99610752089,0.0386920095023226,0.000303819336996829
80.794848110788,1795.0917134268,0.0450087577734688,0.000493550938102494
72.7160801599758,1329.15566443574,0.0547084755425134,0.000548979208859835
115.458145709159,3440.54860712719,0.0335580626502367,0.000297805555402325
79.4506854604107,2197.77800041122,0.0361504598942864,0.000445646929400928
149.086198139242,4052.0028472429,0.0367932115942822,0.000225066278734964
93.4000478569758,2194.78957140674,0.0425553543144965,0.000446002436240027
168.164224393694,4813.79175403138,0.0349338386424511,0.000134443022867888
47.1804722446164,1206.41310400558,0.0391080568405349,0.000563580800403792
50.2971817338362,1668.88030917023,0.0301382798139934,0.000508565187167244
94.6839390402663,2550.77953271272,0.037119609055186,0.000403653474392386
89.1684840272707,2313.64221633133,0.0385403081763707,0.000431863593372274
135.033787907241,4153.5269812496,0.0325106321728084,0.000212988854804548
55.2240139744885,1967.90846591381,0.0280622879219359,0.000472992464962249
181.215773567059,3114.04420341666,0.0581930639803485,0.000336646882514748
62.9354016322872,1989.36004815876,0.0316360035934856,0.00047044056087279
144.016789479348,4756.6404260578,0.0302769973299634,0.00014124180842638
180.218304081789,5505.00115006747,0.0327371964453777,5.22159841219719e-05
100.330919284158,2768.81382569733,0.0362360655501601,0.000377715872328527
68.3173427660796,2267.36306995818,0.0301307468888693,0.000437369012111915
97.0046571042926,1972.43049161765,0.0491802664360234,0.000472454519753616
259.752863022591,3751.58424586583,0.0692381793928347,0.000260804409780475
133.72365431803,3997.28844318828,0.0334535914079222,0.000231575165112897
89.6510148467623,1780.03019231474,0.0503648843900679,0.000495342673410428
159.352126736844,4588.89347183795,0.0347256103709507,0.000161197172724444
55.5296282672596,1397.67800772229,0.0397299148734213,0.000540827714669079
277.230353903988,6467.82854757434,0.042862971995131,-6.23230342629767e-05
113.336031892786,3061.21691792577,0.0370231953276871,0.000342931275168858
152.776338110238,3907.72636227564,0.0390959662849242,0.000242229569899061
176.980567078622,4995.06430336044,0.0354310888369461,0.000112878638727957
101.888960799864,2182.80944609596,0.0466778998881906,0.000447427605275286
108.568458726807,3417.40901951782,0.0317692316333049,0.000300558266487897
77.6340441265824,2567.70236883179,0.0302348298108643,0.000401640314980442
80.007734477139,2597.93196574228,0.0307967011962452,0.000398044168500538
93.4426027209133,2700.20250348414,0.0346057759002675,0.000385877951551388
61.2414072630087,2282.77579535289,0.0268276049657086,0.00043553549715179
90.315402091184,2166.06753267286,0.0416955615320717,0.000449419241922034
74.1442142142854,2375.15767558411,0.0312165440536707,0.000424545645901567
68.9970062197496,1734.89337348413,0.0397701710515991,0.000500712199594731
62.8824317349451,1757.2412745173,0.0357847454682729,0.000498053668425041
46.4692219612213,1569.45048320096,0.0296085938732169,0.00052039346988354
108.717488620792,3116.44858219283,0.0348850577038223,0.000336360854940584
101.16676758405,2543.78480720079,0.0397701752513315,0.00040448557472115
73.2586470212202,2093.84549247956,0.0349876088203941,0.000458010856172853
70.5475043029945,2171.29498628772,0.0324909810728252,0.000448797378224294
144.012388777941,2407.1594866513,0.0598266918235163,0.000420738674853934
82.7008286337105,2346.59898363133,0.0352428468650115,0.000427943019668765
66.5098334346884,2126.57443265797,0.0312755727771818,0.000454117385037194
77.9061851578845,2566.94593161781,0.0303497569614894,0.000401730301592979
260.055316617675,6918.94175365997,0.0375859959335705,-0.000115987963137382
242.868118817711,5097.19316166388,0.0476474230257406,0.000100729276122426
257.057307926187,3118.6000276593,0.0824271486071666,0.000336104916594338
197.319595636881,3732.40773380175,0.0528665702436254,0.000263085668990126
166.025384738354,4148.05235057311,0.0400249010153923,0.000213640122960532
98.9651012375187,2531.55743248194,0.0390925759643909,0.000405940156821065
50.4789505629589,1636.40260056671,0.0308475130420089,0.000512428771515251
133.740816045109,3674.94409204489,0.0363926124303812,0.000269921607743736
95.0830843110577,2910.88132347517,0.0326647065767499,0.000360815364738055
80.361712840629,2303.47284999245,0.0348871977548563,0.000433073352505706
95.8032177024894,2250.14375840379,0.0425764875442671,0.000439417440571483
92.4283956535925,3587.18352471277,0.025766285727183,0.000280361702470118
112.646794368819,3720.60355433016,0.0302764841036925,0.000264489907312608
62.3002659533411,1900.65598935638,0.0327782967050433,0.00048099289439414
84.6256122403695,3245.0657153554,0.026078242989018,0.000321060417688722
107.218697239844,2927.22822020437,0.0366280621715099,0.000358870719716682
43.327812360531,1531.9150103318,0.0282834309137989,0.000524858731495518
83.3559899801158,2322.51247670004,0.0358904379702419,0.000430808377330353
110.56045942335,2556.04017505099,0.0432545859421574,0.000403027662527185
168.832498711553,4534.9732009947,0.0372289959011271,0.000167611588132053
106.161971973732,3425.18844934833,0.0309944908269004,0.000299632816860385
84.8823269790158,2493.99473232106,0.0340346857509275,0.000410408657421958
81.6004130902348,2040.55653274513,0.0399892930094218,0.000464350170108602
60.5631523354276,1741.43999123449,0.0347776280780683,0.000499933406663818
97.5276236115818,3016.21583185396,0.0323344313034903,0.000348284654433167
176.856201960326,4122.72479418925,0.0428978917558589,0.000216653117245706
79.3697263623042,2397.17130625983,0.0331097432023497,0.000421926879905487
69.1236172100602,1917.19827482842,0.0360544958325953,0.000479025005710543
103.280827385838,3041.04206128321,0.0339623146620528,0.000345331298560257
84.9127267580748,2503.51887554829,0.0339173503293352,0.00040927565474772
111.66906575939,3115.97727485722,0.0358375738682198,0.000336416922185573
