real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num,total_volume_au,total_volume_fl,total_density_gcm3
3821713845.8532,307.869568824768,5.1311594804128,0.0855193246735467,-0.00686744560681144,16.5503114925966,18.4929062890314,20.9890379289164,18.4301543282358,-0.964950397729515,-0.924852715234046,-0.94490155648178,18.4615303086336,14.2012731931305,97,192,0,3,0,30.0873171595119,72.6344959340824,0.195516923611868
3821713850.87658,312.892949581146,5.2148824930191,0.0869147082169851,1.72634698683809e-05,-3.83723719748234,19.7431397014373,20.4721030202308,19.6126242828657,-0.502069804489424,-0.253604481767601,-0.377837143128513,19.6778819921515,15.1369346614804,67,155,0,10,0,25.6058707116037,61.81573126744,0.244871885378041
3821713851.14524,313.161607980728,5.21936013301214,0.0869893355502023,0.000101881085186222,-3.60744357157505,20.4871112369879,23.1450636322167,20.5430666621216,-0.119154955072158,-0.337859786890752,-0.228507370981455,20.5150889495547,15.7809443682875,98,195,0,12,0,146.843576268754,354.498511345901,0.0445162500355022
3821713852.17379,314.190156936646,5.23650261561076,0.0872750435935126,0.000333232052789355,-2.96649800002618,49.535912248965,53.9671083552189,49.2338854918959,-1.83104332196242,-1.94235586066213,-1.88669959131228,49.3848988704305,37.9886406353934,73,163,0,18,0,23.3538862708406,56.3791629672813,0.673806396477356
3821713852.83371,314.850083589554,5.24750139315923,0.0874583565526538,-0.000262498734848948,-2.62420130629769,24.5123604974149,27.2564015297322,24.6822385101196,-0.685137865174335,-0.568651178150011,-0.626894521662173,24.5972995037672,18.9211275677886,77,164,0,20,0,35.6578738245703,86.0825070443334,0.21980223645257
3821713853.30708,315.323446750641,5.25539077917735,0.0875898463196225,3.25207683893034e-05,-2.35808327842326,22.4649408257807,25.6500109279026,22.5255740056122,-0.416164335939971,-0.285333975083535,-0.350749155511753,22.4952574156965,17.304161181086,77,165,0,22,0,56.4476192326341,136.271517593426,0.126982963767337
3821713853.34586,315.362235307693,5.25603725512822,0.0876006209188037,0.00015277732886582,-2.32793203128944,22.404703107594,25.3478538135824,22.6176979415697,-0.692720013620177,-0.468714070187092,-0.580717041903635,22.5112005245819,17.3164251939303,87,175,0,23,0,32.5843228370823,78.6625757317366,0.220135496871912
3821713854.5147,316.531074047089,5.27551790078481,0.0879252983464135,-6.53064562956754e-05,-1.7668303210422,19.2388174366915,20.5748021029163,19.1756212693963,-0.180591035473773,-0.0188114896685049,-0.0997012625711392,19.2072193530439,14.7748840292725,87,183,0,25,0,30.6537613022618,74.0019619851539,0.19965530146669
3821713854.76804,316.784414052963,5.27974023421605,0.0879956705702676,0.0009010797102005,-1.60509110760072,86.6038975579432,95.1963027963031,86.3951232193837,-2.31244031380579,-2.53068863580626,-2.42156447480602,86.4995103886634,66.538534864955,82,174,0,27,0,31.1116160586554,75.1072798593053,0.885913256206299
3821713880.26778,342.28414773941,5.70473579565684,0.095078929927614,0.000192430506549831,8.5382824218413,48.0867774794733,54.5269084210263,47.4898854569754,-2.93816098548205,-1.88258917504937,-2.41037508026571,47.7883314682243,36.7605035594884,173,302,0,31,0,66.4745551318544,160.477778023428,0.229069121047537
