day,sample,mean_bm,cv,num_cells
1,1a,54.3880530330142,0.354660572666652,194
3,1a,74.2692975563258,0.291998234164059,248
1,1b,57.1971734162662,0.43458042957452,93
3,1b,75.4279010398365,0.342110899843407,181
3,1c,59.2574464372263,0.318251802073492,110
5,1c,67.3596016471075,0.393878772846549,87
1,2a,45.1990591120355,0.348096706750856,90
3,2a,50.5861144163004,0.283023970347473,200
1,2b,62.6998492023247,0.49680117584909,81
3,2b,47.8373043165595,0.298669542100808,310
5,2b,54.8937613981357,0.312382759257209,289
3,2c,51.7537012094144,0.314430601616442,466
5,2c,55.2293261670619,0.371828901633922,630
