real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num,total_volume_au,total_volume_fl,total_density_gcm3
3822227911.14552,75.6590983867645,1.26098497311274,0.0210164162185457,-0.000151096090422182,-507.138049203169,159.967075708668,170.692272562562,159.359745743056,0.799277301461575,3.66777677890593,2.23352704018375,159.663410725862,122.818838783078,141,252,0,8,0,209.955979913051,0,Inf
3822227911.33418,75.8477575778961,1.26412929296494,0.0210688215494156,-0.000266697176769983,-507.217007562959,130.363630484391,136.170660738571,129.072548312353,-0.0282642900231975,2.59916137738185,1.28544854367932,129.718089398372,99.7838204547818,152,266,0,10,0,328.421604700064,0,Inf
3822227911.5844,76.0979790687561,1.26829965114594,0.0211383275190989,0.000106877139493401,-507.170369496777,188.470861659038,202.024224484255,187.4021986016,0.458726364369218,4.83817638592152,2.64845137514537,187.936530130319,144.567539241399,169,286,0,11,0,329.279583092945,0,Inf
3822227912.77506,77.2886388301849,1.28814398050308,0.021469066341718,-0.000207455901681668,-515.360714270331,153.196819896855,161.035017885306,152.681919213615,0.873460046989545,4.2104463844717,2.54195321573062,152.939369555235,117.646464444138,141,252,0,20,0,287.815825274701,0,Inf
3822227912.85957,77.3731544017792,1.28955257336299,0.0214925428893831,0.000538903528894994,-515.17109515698,176.012685351789,186.88000935138,175.323915977089,0.602993155402873,4.18723888335976,2.39511601938132,175.668300664439,135.130375835747,152,265,0,21,0,330.245153335093,0,Inf
3822227912.97521,77.4887907505035,1.29147984584173,0.0215246640973621,0.000723489264651961,-514.900702086753,132.251260230231,141.606897994388,131.543619917812,0.682762162330027,3.06169872976372,1.87223044604687,131.897440074021,101.460255387917,135,243,0,22,0,192.588862365436,0,Inf
3822227913.29205,77.8056335449219,1.29676055908203,0.0216126759847005,-0.000285506615406589,-514.473895386705,167.526921431492,177.93161325523,167.226276311584,0.823364897040193,4.81417167727514,2.81876828715767,167.376598871538,128.752100555832,152,264,0,25,0,330.282719361182,0,Inf
3822227913.41689,77.9304735660553,1.29884122610092,0.0216473537683487,-0.00064867114043847,-514.56965704237,157.297487687691,168.036411554443,156.867727763821,1.11439359360393,3.29727642834677,2.20583501097535,157.082607725756,120.833592281328,137,246,0,26,0,220.118077644259,0,Inf
3822227914.04729,78.5608706474304,1.30934784412384,0.0218224640687307,-0.00041718486772195,-513.489324904678,208.563128525588,222.174923104969,207.937522333676,3.33847328659702,6.50557332221631,4.92202330440666,208.250325429632,160.193641293186,147,257,0,30,0,283.43231675088,0,Inf
3822227914.14406,78.6576387882233,1.31096064647039,0.0218493441078398,7.02636964287095e-05,-513.640608847891,130.690859844403,140.907075501611,130.049433450999,0.265806802254387,4.65080661849504,2.45830671037471,130.370146647701,100.285406346118,160,276,0,31,0,335.19509970041,0,Inf
