soln_name,density,feedback_freq,feedback_delay
diH2O,0.997,1160143,457
1% NaCl,1.0053,1158886,459
3% NaCl,1.0196,1156519,460
5% NaCl,1.034,1154170,462
7% NaCl,1.0486,1151930,462
9% NaCl,1.0633,1149752,461
12% NaCl,1.0857,1146588,459
14% NaCl,1.1008,1144565,460
16% NaCl,1.1162,1142540,460
