WNK463 dose,Rep,Concentration,Mean volume
10um,1,7947,958.6
10um,2,9219,854.8
10um,3,7748,904.3
10um,4,6964,940
1um,1,14090,1149
1um,2,14373,1071
1um,3,14168,1162
1um,4,12594,1141
100nm,1,15342,1235
100nm,2,13939,1148
100nm,3,13201,1192
100nm,4,13943,1108
10nm,1,18568,1224
10nm,2,18588,1155
10nm,3,19918,1162
10nm,4,21693,1053
DMSO,1,19516,1138
DMSO,2,19706,1117
DMSO,3,17396,1062
DMSO,4,20446,993.7
