real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num,total_volume_au,total_volume_fl,total_density_gcm3,snacs
3822223065.48087,226.518589258194,3.7753098209699,0.0629218303494983,-0.00164371599416437,-581.977414327313,147.625001875948,154.038700692689,147.207229249493,-0.830056540180883,-0.549454221627797,-0.68975538090434,147.416115562721,113.39777879612,241,382,0,4,0,346.252504538532,3356.3338560105,1.0432342423073,-0.000399454590745597
3822223069.20591,230.243633270264,3.83739388783773,0.0639565647972955,-0.000302100497045416,-583.000537181391,167.672870414735,181.300653609894,167.376187274859,0.738282606350302,0.758510535566783,0.748396570958543,167.524528844797,128.865893612452,197,324,0,13,0,217.968574536595,2112.83758723573,1.07043989843415,0.000547138031764037
3822223072.232,233.269718885422,3.88782864809036,0.0647971441348394,2.57388310298363e-05,-582.941268397497,90.9931301824316,97.8726078406437,90.7283737304119,-0.278956710383045,-0.114101656870171,-0.196529183626608,90.8607519564218,69.8933587571005,194,319,0,15,0,263.497738608894,2554.16601896902,1.03681249285782,-2.13242957638825e-05
3822223074.03945,235.077167510986,3.91795279184977,0.0652992131974962,0.000207628102053447,-582.637222783178,137.069522361011,146.314698690186,136.932557071402,0.0642748811847135,-0.242051656526455,-0.0888883876708708,137.001039716207,105.386127814275,197,324,0,18,0,232.633573765775,2254.99001289649,1.05618267050363,0.000109279819369766
3822223080.6145,241.652226448059,4.02753710746765,0.0671256184577942,7.58833511009833e-05,-582.299247490534,154.026157979006,164.03175451239,153.833907575662,0.272988090381369,0.173322306886158,0.223155198633764,153.930032777334,118.408518229725,200,328,0,29,0,291.715774162116,2827.69226595923,1.05132265138503,4.94399836920173e-05
3822223084.46865,245.506369590759,4.09177282651265,0.0681962137752109,0.000668808669198857,-581.990667774342,163.618481809746,174.534181246849,163.567523194467,0.900378031886388,-0.0881100332123898,0.406133999336999,163.593002502107,125.841622128716,203,332,0,40,0,259.595674692938,2516.34209262112,1.05945778207929,0.000228786412231541
3822223091.39396,252.431682825089,4.20719471375148,0.0701199118958579,0.00112180991138323,-575.888850512536,149.968706603329,159.996928820019,149.465138197035,-0.257688880416794,0.274846908939911,0.00857901426155816,149.716922400182,115.16764217782,193,319,0,53,0,308.066308890261,2986.18311455277,1.0480148773602,-7.59137423353642e-05
3822223091.73666,252.774385213852,4.21290642023087,0.0702151070038478,7.17949059036734e-06,-575.190716794143,139.086757743475,148.213195331934,138.591945705006,-0.135579524009734,0.389481335042119,0.126950905516193,138.83935172424,106.800223536778,183,304,0,54,0,231.322858055313,2242.28483544083,1.05707812654929,0.000209267877779952
3822223095.85423,256.89194726944,4.28153245449066,0.071358874241511,0.00810962480834145,-531.269682788086,263.75506511555,271.463358164425,252.723199879973,-6.37503916431986,-3.17794360480283,-4.77649138456134,258.239132497762,198.646829837432,204,332,0,61,0,377.544142442043,3659.65349219781,1.06372826783084,-0.00159348910213929
3822223095.95222,256.989945173264,4.28316575288773,0.0713860958814621,0.000514321787409254,-528.626944863292,122.872739818081,130.185766212721,121.056978989789,-0.371158357601065,0.554604863169471,0.091723252784203,121.964859403935,93.8197570516149,177,295,0,62,0,206.942492112512,2005.95832064838,1.05621858035463,0.000271901195004164
