labels,dry_density_gcm3,dry_volume_fl,avg_buoyant_mass_h2o,avg_buoyant_mass_d2o,avg_density_h2o_gcm3,avg_density_d2o_gcm3,total_volume_fl,water_content,total_density
Rep1_ntarget,1.36699695044481,372.261337483244,134.382003235727,100.662606796267,1.00600860783516,1.0965885124458,2739.35,0.864105960361676,1.05506477197473
Rep2_ntarget,1.3796329175838,330.607359129567,123.545888511383,94.7624726538781,1.00593921386028,1.09300144965952,2666.97,0.876036341192602,1.05226365264713
Rep1_ntreat,1.35744121179557,375.338217975285,131.908466006673,97.7914463516153,1.006002270357,1.096899008342,2904.34,0.870766433001892,1.05141997834114
Rep2_ntreat,1.3770046408459,356.272543027483,132.160295185684,99.7207265942922,1.00605184705879,1.09710452351747,2736.64,0.869813880149569,1.05434475192961
Rep1_siRNA1,1.44606032223019,288.33000778534,126.97691897165,102.090388153154,1.00567286500034,1.09198552808265,2671.92,0.892088832081297,1.05319558984676
Rep2_siRNA1,1.3448179311508,388.912204429611,131.755178940922,96.0896929688997,1.0060392108117,1.09774496230471,2560.7,0.84812269909415,1.05749200846114
Rep1_siRNA2,1.41011213827007,317.848413104937,128.483237751887,100.130602863718,1.00588410863548,1.09508585927883,2651.44,0.880122343667993,1.05434201745178
Rep2_siRNA2,1.38449606126326,324.666463134905,122.847489218564,93.2632331884728,1.0061154671225,1.09723746273742,2552.86,0.872822456721127,1.05423698150972
