soln_name,density,feedback_freq,feedback_delay
diH2O,0.997,1160150,457
1% NaCl,1.0053,1158920,459
3% NaCl,1.0196,1156555,460
5% NaCl,1.034,1153884,460
7% NaCl,1.0486,1151890,459
9% NaCl,1.0633,1149765,460
12% NaCl,1.0857,1146814,459
14% NaCl,1.1008,1144648,459
16% NaCl,1.1162,1142641,460
