labels,dry_density_gcm3,dry_volume_fl,avg_buoyant_mass_h2o,avg_buoyant_mass_d2o,avg_density_h2o_gcm3,avg_density_d2o_gcm3
Rep1_low,1.38087173503918,250.512498766962,89.030754935409,63.2525654793573,1.02547727219352,1.12837908181553
Rep2_low,1.43217769373161,211.415323929509,85.982701361742,64.2276819475723,1.02547727219352,1.12837908181553
Rep1_high,1.46023528479883,166.769540597944,72.5043940334621,55.3435065161025,1.02547727219352,1.12837908181553
Rep2_high,1.5478718697273,128.530364612417,67.1435680925732,53.9175609825788,1.02547727219352,1.12837908181553
Rep1-p,1.46097587379136,205.056312780021,89.301737464508,68.2010718050271,1.02547727219352,1.12837908181553
Rep2-p,1.54514513276772,176.843868619268,91.90007486104,73.7025207595605,1.02547727219352,1.12837908181553
Rep1_-n,1.59748780026642,158.153605751574,90.4655275425907,74.1912353125079,1.02547727219352,1.12837908181553
Rep2_-n,1.58687599181388,160.65079083152,90.1891482788127,73.6578911850424,1.02547727219352,1.12837908181553
