soln_name,density,feedback_freq,feedback_delay
diH2O,0.997,1160167,459
1% NaCl,1.0053,1158903,460
3% NaCl,1.0196,1156492,462
5% NaCl,1.034,1154181,462
7% NaCl,1.0486,1151911,463
9% NaCl,1.0633,1149677,464
12% NaCl,1.0857,1146529,463
14% NaCl,1.1008,1144529,463
16% NaCl,1.1162,1142455,464
