labels,dry_density_gcm3,dry_volume_fl,avg_buoyant_mass_h2o,avg_buoyant_mass_d2o,avg_density_h2o_gcm3,avg_density_d2o_gcm3,total_volume_fl,water_content,total_density_gcm3
Rep1_wnk,1.44496203379409,117.110156020955,51.3136606651768,40.5929210767396,1.00679627252575,1.09834033627474,776.008,0.849086406298705,1.07292144219562
Rep2_wnk,1.38454574369908,140.711174525904,53.2623478790585,40.4744248814974,1.00602322721441,1.0969038771745,790.966,0.822102120033094,1.07336158041677
Rep3_wnk,1.38981074996241,136.205031744073,52.2690257027478,39.7705920315446,1.00605821869792,1.09782012727915,775.009,0.824253612868917,1.07350133962006
Rep1_dmso,1.48045152184973,111.323965359115,52.8117294010937,42.5927758170311,1.00605475354624,1.09784948571463,963.17,0.884419193538924,1.06088591460929
Rep2_dmso,1.47330663508841,110.131841449415,51.4529899646841,41.2704099354402,1.00611214085744,1.09857023376894,953.205,0.884461536133975,1.06009107504755
Rep3_dmso,1.3712792538482,151.498835639305,55.3514658669019,41.5598173695849,1.00592023552093,1.0969549186531,933.056,0.837631572339382,1.06524300485835
