fwd_lin_slope_l,fwd_lin_slope_r,fwd_lin_slope_avg,bck_lin_slope_l,bck_lin_slope_r,bck_lin_slope_avg,bck_pk_a_l,bck_pk_a_r,bck_pk_a_mean,bck_pk_a_absmean,bck_pk_c_l,bck_pk_c_r,bck_pk_c_mean,bck_pk_c_absmean,bck_pk_imbal_inner,bck_pk_imbal_outer,bck_pk_slope_inner,bck_maxcurv_l,bck_maxcurv_r,bck_maxcurv_avg,bck_maxcurv_whole,bck_avgcurv_l,bck_avgcurv_r,bck_avgcurv_avg,bck_avgcurv_whole,bck_vtx_pos_l,bck_vtx_pos_r,bck_vtx_pos_avg,bck_pk_a_full,bck_vtx_pos_full,mean_bl_val,mean_bl_val_fwd,bl_vert_yval_l,bl_vert_yval_r,bl_vert_yval_avg,bl_vert_yval_whole
-0.00155034435804648,-0.00123457715111425,-0.00139246075458037,0.00645032062532165,-0.00730179109792525,-0.000425735236301796,-6.29396533416317e-06,1.23468485980861e-06,-2.52964023717728e-06,3.76432509698589e-06,-484.071704700516,-480.243902000771,-482.157803350644,482.157803350644,-3.32798132363598,-3.04924521291366,0.00846814586166916,-6.29305897014705e-06,1.23449250297972e-06,-2.52928323358366e-06,-1.48835484655372e-05,-6.29317831006993e-06,1.23448738348139e-06,-2.52928323358366e-06,-1.48863218263337e-05,7.14832529881245,38.4031444125051,22.7757348556588,-1.48936980811075e-05,0.923524623357568,-482.162792160248,-2.48431730931442,-482.164864003402,-491.322349373171,-486.743606688287,-480.534144872186
-0.00154634071418102,0.00177169005954618,0.000112674672682584,-0.00222105364859297,-0.00347993496776554,-0.00285049430817926,-0.000115247372359078,1.77852221142297e-05,-4.87310751224243e-05,6.6516297236654e-05,-481.491787860421,-477.764239164493,-479.628013512457,479.628013512457,-4.01607369116357,-3.54530121394941,0.010854253219361,-0.00011520482154078,1.77849884535886e-05,-4.87099165435958e-05,-1.94639767490658e-06,-0.000115236356943442,1.77845408962771e-05,-4.87099165435958e-05,-1.94642824725593e-06,0.370050932275031,1.73205321933133,1.05105207580318,-1.94685229488889e-06,4.29988979945507,-479.680030123122,-2.01934537887198,-481.395771941435,-478.097232805478,-479.746502373457,-471.779202552815
0.0013670375795113,0.00117829162317585,0.00127266460134357,0.0154411542324972,0.00419280919197732,0.00981698171223726,7.3980217947393e-05,3.28713684197344e-05,5.34257931835637e-05,5.34257931835637e-05,-98.675433981929,-94.7468454143708,-96.7111396981499,96.7111396981499,-2.87667659483417,-4.42562463007053,0.00753056700218368,7.39625185876116e-05,3.28712100517763e-05,5.34168643196939e-05,-1.16817519065728e-05,7.39241285599207e-05,3.28693472795409e-05,5.34168643196939e-05,-1.16835854371672e-05,-0.678202485830391,-0.214177846615686,-0.446190166223038,-1.16885877221726e-05,1.06483743078116,-96.3370568085455,-2.16285218522716,-98.9449684894736,-94.7590592451428,-96.8520138673082,-94.5102030863298
0.00111842539786516,-0.000553198275314866,0.000282613561275147,0.00536363882151395,-0.00537844462111873,-7.40289980239155e-06,8.21121398751954e-05,2.55799736206036e-06,4.23350686186279e-05,4.23350686186279e-05,-478.941044694459,-476.544757445302,-477.74290106988,477.74290106988,-1.79660072359746,-1.93728095370318,0.00481662392385379,8.2112139704162e-05,2.55779357527548e-06,4.23349666397187e-05,-1.16634562432439e-05,8.2100768490038e-05,2.55777525170103e-06,4.23349666397187e-05,-1.16648016801929e-05,0.123176708424585,12.3067401842412,6.2149584463329,-1.16674894470616e-05,0.836480260826985,-477.791675026359,-2.06052068628661,-478.95069253026,-479.61354037422,-479.28211645224,-476.765628495598
-0.00302756040678444,0.00141865555690226,-0.000804452424941094,0.00634612427734798,0.0016359408550084,0.00399103256617819,5.79247161064893e-06,6.83797323947097e-07,3.23813446729801e-06,3.23813446729801e-06,-480.996796699614,-479.231419843049,-480.114108271331,480.114108271331,-1.008907210693,-1.67511503327745,0.00266202430262004,5.79191329600265e-06,6.83792362041262e-07,3.23785282902196e-06,-4.67951695173531e-06,5.7917691166194e-06,6.83791829303841e-07,3.23785282902196e-06,-4.67967745102275e-06,-4.14653144421971,-9.5564508351102,-6.85149113966496,-4.68000789437099e-06,1.02562677046064,-479.884392722783,-2.67744989372956,-482.383545678503,-480.115750293136,-481.24964798582,-479.099606170661
-0.00204853402552364,-0.000114956171618999,-0.00108174509857132,0.0161579841446961,0.0149665388072499,0.015562261475973,-4.05854073653317e-05,6.81533514792197e-06,-1.68850361087049e-05,2.37003712566269e-05,-359.524145584351,-346.281586958285,-352.902866271318,352.902866271318,-11.7821388600195,-14.3915528677998,0.0383783024756335,-4.05399771230532e-05,6.81108065686562e-06,-1.68644482330938e-05,-2.4561398568959e-06,-4.05532199458231e-05,6.81075532896567e-06,-1.68644482330938e-05,-2.45633861026787e-06,3.01343671013721,-13.2313076112624,-5.10893545056257,-2.46513950899159e-06,15.2020945644826,-352.234012204733,-2.45791544132453,-357.224037516882,-353.917706596889,-355.570872056885,-236.446145019744
0.00166457016784829,-0.000629592129128373,0.000517489019359958,0.00661228588274376,0.00155178407577858,0.00408203497926117,5.94056598659706e-05,1.66546914380043e-05,3.80301756519875e-05,3.80301756519875e-05,-450.878246400954,-445.066107992238,-447.972177196596,447.972177196596,-5.32387438880141,-6.16888815069734,0.0149968292642293,5.94050034125914e-05,1.66546890327238e-05,3.80298462226576e-05,-6.0817271705593e-06,5.9396527711537e-05,1.66545408193922e-05,3.80298462226576e-05,-6.08227320173014e-06,-0.201920864702019,-0.0813209341825391,-0.141620899442279,-6.08641074828736e-06,2.55045750173613,-447.832258403359,-2.21417902164428,-450.8937477749,-445.066830614517,-447.980289194708,-440.734779048093
0.000572638934594217,-0.00177703231835229,-0.000602196691879038,0.0134422612989306,-0.0100338142683724,0.00170422351527914,-1.0263105140727e-05,-3.62244598378568e-05,-2.32437824892919e-05,2.32437824892919e-05,-487.351617101189,-484.051927333929,-485.701772217559,485.701772217559,-2.00822928215155,-2.67670265987869,0.00378197604924962,-1.02567896905766e-05,-3.62055731849357e-05,-2.32311814377562e-05,-1.90236946535406e-05,-1.02575355306853e-05,-3.62131534760834e-05,-2.32311814377562e-05,-1.90293416397632e-05,8.0216409517225,-1.07948881484106,3.47107606844072,-1.90404825329686e-05,0.637842362292807,-485.595538683058,-2.13603745378583,-482.353070775069,-483.725035888131,-483.0390533316,-483.585929120445
-0.00130609373063293,0.00110426866313264,-0.000100912533750145,0.00469612744463714,0.00137924455853198,0.00303768600158456,4.86519371970928e-06,-7.24664016837437e-06,-1.19072322433254e-06,6.05591694404182e-06,-457.594380596079,-452.356132622987,-454.975256609533,454.975256609533,-4.86437114774373,-5.28732801539945,0.014018360656322,4.86492725360975e-06,-7.24655172929641e-06,-1.19081223784333e-06,-4.13046672667884e-06,4.864870957163e-06,-7.24659579846848e-06,-1.19081223784333e-06,-4.13070624220346e-06,-4.99005589171184,1.56364512309991,-1.71320538430597,-4.13281846745079e-06,3.18042909613156,-454.82674761472,-2.29649362137463,-458.532539277601,-452.215788865609,-455.374164071605,-446.480670848775
-0.000770071150899037,0.000558850872972153,-0.000105610138963442,0.00996089173149696,0.00679908785338831,0.00837998979244263,-4.05105910317742e-05,3.05624834848987e-05,-4.97405377343778e-06,3.55365372583364e-05,-455.490438989306,-450.006704351884,-452.748571670595,452.748571670595,-4.65100261232578,-6.05368325833803,0.0127424729104816,-4.04866014244846e-05,3.05612406931885e-05,-4.96268036564803e-06,-3.46638901959086e-06,-4.04978443413281e-05,3.05579427275309e-05,-4.96268036564803e-06,-3.46657430188823e-06,1.70041001815697,-0.584782341998011,0.55781383807948,-3.46816462456964e-06,3.30470178248269,-452.303124393352,-2.32096746351033,-454.271796733716,-450.117583936862,-452.194690335289,-443.251064003782
