fl1_real_time_s,fl1_peak_time_s,fl1_peak_time_m,fl1_peak_time_h,fl1_avg_baseline,fl1_bl_slope,fl1_pk_fwhm,fl1_transit_t,fl1_valve_state,fl1_pk_order,fl1_segment_num,fl1_pk_ht1_hz,fl1_pk_ht2_hz,fl1_pk_ht3_hz,fl1_node_dev_1,fl1_node_dev_2,fl1_node_dev_mean,fl1_avg_pk_ht_hz,fl1_mass_pg,fl1_pair_id,fl1_bl_avg_hz,fl2_real_time_s,fl2_peak_time_s,fl2_peak_time_m,fl2_peak_time_h,fl2_avg_baseline,fl2_bl_slope,fl2_pk_fwhm,fl2_transit_t,fl2_valve_state,fl2_pk_order,fl2_segment_num,fl2_pk_ht1_hz,fl2_pk_ht2_hz,fl2_pk_ht3_hz,fl2_node_dev_1,fl2_node_dev_2,fl2_node_dev_mean,fl2_avg_pk_ht_hz,fl2_mass_pg,fl2_pair_id,fl2_bl_avg_hz,fl1_bl_dens_gcm3,fl2_bl_dens_gcm3,density_gcm3,volume_fl,total_volume_au,total_volume_fl,water_content
3796910914.39308,87.5185873508453,1.45864312251409,0.0243107187085682,-441.159585896262,5.35382701254216e-06,264,628,11,16,0,61.2999933318109,63.1669164911867,61.431274060095,2.03066782411091,1.02115115642001,1.52590949026546,61.365633695953,47.9454065098162,1,-441.159585896262,3796910929.8939,103.019406080246,1.71699010133743,0.0286165016889572,-123.840506100695,3.71966028192162e-06,226,561,7,20,0,40.2057105453848,42.9045404012685,40.3522551080547,-0.524510817673108,-0.996210727070561,-0.760360772371835,40.2789828267197,31.4702560556519,1,-123.840506100695,1.0086763356263,1.08543233366783,1.23204895601034,214.643166326219,79.5577463232067,772.410247502749,0.722112482297881
3796910992.05173,165.177239179611,2.75295398632685,0.0458825664387809,-441.781167875016,4.04956140421152e-06,260,625,11,36,0,59.6576954964264,62.8461380616697,60.1660164457412,0.738504478422684,0.978228062695635,0.858366270559159,59.9118559710838,46.8095596229557,3,-441.781167875016,3796911012.34853,185.474044322968,3.09123407204946,0.051520567867491,-123.630216621395,1.41513709816279e-05,224,537,7,42,0,50.3543000636518,54.1617401984175,49.2877222549166,-1.3850696832056,-1.16867156908243,-1.27687062614402,49.8210111592842,38.925510727994,3,-123.630216621395,1.0086727530625,1.08543354569698,1.46442067489807,102.7093210528,109.412264245746,1062.2617911091,0.903310726308284
3796911082.71995,255.845458269119,4.26409097115199,0.0710681828525331,-441.797864617584,-3.28385404656729e-06,283,667,11,63,0,86.661280488814,90.5430602470254,86.6439200992824,0.375563311079588,0.23300181344735,0.304282562263469,86.6526002940482,67.7022935478095,5,-441.797864617584,3796911089.79952,262.92503452301,4.38208390871684,0.0730347318119473,-118.31253003909,1.03925317238669e-05,246,597,7,65,0,67.4222514384541,68.5443116488369,66.7031526962451,0.104917074320404,1.46710583959039,0.786011456955399,67.0627020673496,52.396566589645,5,-118.31253003909,1.00867265682879,1.08546419483427,1.34834703245602,199.315280767921,140.975703721234,1368.70491228872,0.854376733086586
3796911197.64413,370.769637346268,6.17949395577113,0.102991565929519,-440.9012055183,2.24271711213559e-06,274,657,11,12,1,64.129601092599,67.2899985537477,63.9691670285826,0.514356001024169,0.909033294104491,0.71169464756433,64.0493840605908,50.0422397771293,8,-440.9012055183,3796911204.39732,377.522830963135,6.29204718271891,0.104867453045315,-125.827491143182,2.06267387271295e-05,226,538,7,14,1,49.3441081840688,54.1915814205064,49.7014305839565,0.515607837624777,0.865834926324498,0.690721381974638,49.5227693840127,38.6924923055908,8,-125.827491143182,1.00867782483322,1.08542088143641,1.34704609684959,147.892825408609,101.744592693347,987.817901541172,0.850283311146852
3796911224.22114,397.34664940834,6.62244415680567,0.110374069280095,-440.895953362603,-3.89737001190228e-07,290,685,11,21,1,76.5122753618153,79.3162281991557,76.2884909113559,0.805656159310775,0.680993855227197,0.743325007268986,76.4003831365856,59.6921632902632,10,-440.895953362603,3796911230.11218,403.237687110901,6.72062811851501,0.112010468641917,-124.795837832591,1.20320147736466e-05,238,575,7,23,1,59.1769410124053,63.0942007920161,58.568842603917,-0.536889117372638,-0.28745392271667,-0.412171520044654,58.8728918081611,45.9978095253804,10,-124.795837832591,1.00867785510466,1.0854268274965,1.34321808029744,178.430451094081,133.609650428056,1297.18937407591,0.862448417586529
3796911249.98554,423.111053228378,7.05185088713964,0.117530848118994,-439.975130027931,1.06501749225643e-06,285,678,11,28,1,74.3715542194448,77.7890278733152,74.3854099188667,1.32794067422317,0.943281830082733,1.13561125215295,74.3784820691557,58.1124375910083,11,-439.975130027931,3796911255.65431,428.77981543541,7.14633025725683,0.119105504287614,-124.784095654944,1.15031244415185e-05,228,554,7,30,1,58.7761218691292,62.3827556846341,57.2117755235289,-0.349815327316924,-0.296082129059825,-0.322948728188375,57.993948696329,45.3110850143196,11,-124.784095654944,1.00868316238263,1.08542689517398,1.35706551929542,166.806488439812,106.568433635771,1034.65160848297,0.83878004241023
3796911262.61431,435.73982334137,7.26233038902283,0.121038839817047,-440.69707842818,-4.59544123059718e-06,287,674,11,32,1,67.5792465115129,72.7517596141386,67.7542008664042,0.0928615433633082,-0.503375707868559,-0.205257082252625,67.6667236889586,52.8684929830438,12,-440.69707842818,3796911269.14578,442.271285057068,7.37118808428446,0.122853134738074,-128.921349437298,3.62514086307889e-06,233,549,7,34,1,52.6529626007073,55.8497699560562,51.6827206138054,-1.67988598942713,-1.00554161469957,-1.34271380206335,52.1678416072563,40.7591060656571,12,-128.921349437298,1.00867900134468,1.08540304960556,1.34364928801437,157.830395969351,110.294158970508,1070.82393061287,0.852608452746271
3796911314.12683,487.252335309982,8.12087225516637,0.13534787091944,-441.403749198386,-9.7230655923195e-06,280,654,11,50,1,61.3629961746568,66.4210915998487,61.5880983273495,-0.792623102555633,-0.739696621322843,-0.766159861939238,61.4755472510031,48.0312827529253,15,-441.403749198386,3796911321.41089,494.536397457123,8.24227329095205,0.137371221515867,-131.986194232742,1.17660346298941e-05,230,554,7,52,1,47.2237296560824,51.5566995482,47.022871739048,-0.552375144025554,0.337872065790451,-0.107251539117551,47.1233006975652,36.8177703374401,15,-131.986194232742,1.00867492836123,1.08538538499757,1.33725187163173,146.179711439409,98.3688508670591,955.043499298104,0.846939211096833
3796911353.06252,526.188028335571,8.76980047225952,0.146163341204325,-441.380983095482,1.46931464998442e-06,265,642,11,62,1,42.988828064433,43.609574447076,42.751690420201,0.251815926830787,-0.127558957429678,0.0621284847005549,42.870259242317,33.4948387681955,16,-441.380983095482,3796911362.60317,535.728679895401,8.92881133159002,0.148813522193167,-139.52757283484,1.90648422915895e-05,226,543,7,64,1,33.3397194184368,35.6891535864393,32.5817391713282,-0.0356113991100455,1.10792293613174,0.536155768510845,32.9607292948825,25.7524524676646,16,-139.52757283484,1.00867505957645,1.08534191933922,1.34034852650767,100.987393046853,72.5936540417781,704.797268360815,0.856714267236415
3796911391.51798,564.643486499786,9.41072477499644,0.156845412916607,-443.011891726992,-1.97653081599442e-06,286,680,11,74,1,64.2818116443268,65.6608967636489,63.7255833520181,0.362352828641057,-0.173803152893854,0.0942748378736014,64.0036974981724,50.0065445406385,19,-443.011891726992,3796911397.89164,571.017150878906,9.51695251464844,0.158615875244141,-133.055896826318,1.37271916475216e-05,247,587,7,76,1,49.7523391273495,53.4312611626538,48.4133943432105,-0.445897254644041,-0.201333157558652,-0.323615206101346,49.08286673528,38.3487932341735,19,-133.055896826318,1.00866565963499,1.08537921963578,1.33773255720407,151.964676210375,127.248511800421,1235.43035136793,0.876994541989265
