fl1_real_time_s,fl1_peak_time_s,fl1_peak_time_m,fl1_peak_time_h,fl1_avg_baseline,fl1_bl_slope,fl1_pk_fwhm,fl1_transit_t,fl1_valve_state,fl1_pk_order,fl1_segment_num,fl1_pk_ht1_hz,fl1_pk_ht2_hz,fl1_pk_ht3_hz,fl1_node_dev_1,fl1_node_dev_2,fl1_node_dev_mean,fl1_avg_pk_ht_hz,fl1_mass_pg,fl1_pair_id,fl1_bl_avg_hz,fl2_real_time_s,fl2_peak_time_s,fl2_peak_time_m,fl2_peak_time_h,fl2_avg_baseline,fl2_bl_slope,fl2_pk_fwhm,fl2_transit_t,fl2_valve_state,fl2_pk_order,fl2_segment_num,fl2_pk_ht1_hz,fl2_pk_ht2_hz,fl2_pk_ht3_hz,fl2_node_dev_1,fl2_node_dev_2,fl2_node_dev_mean,fl2_avg_pk_ht_hz,fl2_mass_pg,fl2_pair_id,fl2_bl_avg_hz,fl1_bl_dens_gcm3,fl2_bl_dens_gcm3,density_gcm3,volume_fl,total_volume_au,total_volume_fl,water_content
3796919365.87464,228.514335393906,3.80857225656509,0.0634762042760849,-456.877984261495,1.60863023892453e-06,322,759,11,12,0,86.4624651991918,91.2436589440034,86.4647241932902,0.185881773464653,0.675170558994356,0.430526166229504,86.463594696241,67.5546221285849,1,-456.877984261495,3796919384.0456,246.685300111771,4.11142166852951,0.0685236944754918,380.197932840148,5.3169614346944e-07,252,589,7,17,0,70.7598633759677,74.113865402851,68.7835589939077,-1.13446555063914,-0.84544075353811,-0.989953152088623,69.7717111849377,54.5131347004723,1,380.197932840148,1.00858574071399,1.08833742088549,1.42169771492728,163.526177756608,189.690093512734,1841.66317989643,0.911207337182142
3796919525.95745,388.597150087357,6.47661916812261,0.107943652802043,-468.338127554674,-1.57326606943312e-06,305,707,11,54,0,69.8888002758753,73.9153823289946,70.3065158168904,0.298398802582961,0.169878387354412,0.234138594968687,70.0976580463829,54.7677993039541,3,-468.338127554674,3796919530.78231,393.422007799149,6.55703346331914,0.109283891055319,384.789183356644,7.31560533229605e-06,244,590,7,56,0,56.8092323697744,59.9630241101639,55.430248583391,-0.92774508788687,0.338897464902212,-0.294423811492329,56.1197404765827,43.8467527884845,3,384.789183356644,1.00851968877585,1.08836388311964,1.40892919213364,136.77946913017,146.614653841934,1423.45235122057,0.903910047278446
3796919633.05249,495.692192077637,8.26153653462728,0.137692275577121,-472.205301727066,2.1707586087622e-06,330,766,11,2,1,94.2722728227524,97.7392408735648,94.6068227752998,0.504033288009809,-0.0540038575841886,0.22501471521281,94.4395477990261,73.7862910739588,5,-472.205301727066,3796919651.26888,513.908580541611,8.56514300902685,0.142752383483781,368.150841657021,4.66865930708626e-06,246,599,7,7,1,56.6431829556068,60.12823514002,54.0394085645065,-1.21964521065508,0.0375736078915072,-0.591035801381788,55.3412957600567,43.2385483891918,5,368.150841657021,1.00849739984431,1.08826798600136,1.2011785989124,382.944944451394,170.756574307691,1657.84142863851,0.769009907801686
3796919737.5935,600.233200550079,10.0038866758347,0.166731444597244,-478.178163869707,-2.79123333295768e-06,310,704,11,32,1,64.6405874142536,68.2678248048751,65.8743787478294,-0.639180923735621,-0.434342312895589,-0.536761618315605,65.2574830810415,50.9861361430759,6,-478.178163869707,3796919752.72231,615.362008571625,10.2560334761937,0.170933891269896,577.69226001429,7.19652534411143e-06,233,557,7,37,1,40.8890188431254,43.862757939329,39.7784325125842,-1.26367803746867,-0.917455586504554,-1.09056681198661,40.3337256778548,31.5130270349949,6,577.69226001429,1.0084629745225,1.08947570360583,1.22057733240132,240.370980319042,148.353355446535,1440.33305735932,0.8331143070758
3796919831.28552,693.925216674805,11.5654202779134,0.19275700463189,-478.339002149187,-2.27008063497839e-06,301,704,11,66,1,48.3694040723613,52.855871506573,48.3743388820122,-0.315230679841977,-0.307966258968438,-0.311598469405207,48.3718714771867,37.7932875769724,9,-478.339002149187,3796919834.84831,697.488010644913,11.6248001774152,0.193746669623587,329.590027334708,9.42993642079669e-06,237,566,7,68,1,36.7629783709845,40.9237225520127,37.6132522721147,-1.61566045705511,-1.18760507630015,-1.40163276667763,37.1881153215496,29.0553392679005,9,329.590027334708,1.0084620475114,1.08804573602966,1.35267662972449,109.795719094712,102.872752608899,998.770980529274,0.89006917377943
3796919873.1707,735.810398340225,12.2635066390038,0.204391777316729,-482.432907952017,-1.04924925881832e-06,315,738,11,84,1,81.7750354905765,85.760259237967,82.3875232455663,0.503057070350139,0.466235693505773,0.484646381927956,82.0812793680714,64.1306879620394,10,-482.432907952017,3796919876.72688,739.366575241089,12.3227762540181,0.205379604233636,327.985548049306,1.08403153001561e-05,250,602,7,86,1,64.6672243090871,66.7499590035267,62.6562495554719,-0.810507301402284,0.147394274988987,-0.331556513206649,63.6617369322795,49.7393683158594,10,327.985548049306,1.00843845178437,1.08803648841697,1.36314371684541,180.79993244815,154.949531289059,1504.37400937921,0.87981716559783
3796919899.8711,762.510799407959,12.708513323466,0.2118085553911,-479.641390452425,-1.74267873207045e-06,325,755,11,106,1,91.1999069186584,96.7501478548752,91.101201185451,0.188181404694121,0.225730561316596,0.206955983005359,91.1505540520547,71.2165768428942,11,-479.641390452425,3796919903.84237,766.482065677643,12.7747010946274,0.212911684910456,266.92583908362,3.02041735142365e-06,257,626,7,108,1,71.0017201428092,74.6914560741156,69.729080434034,-1.60352390679136,-1.19470048481113,-1.39911219580124,70.3654002884216,54.9769882238958,11,266.92583908362,1.00845454103705,1.087684563313,1.35590736771015,204.967613948634,208.757098831437,2026.78092113465,0.89887036540985
3796919927.26801,789.90770983696,13.1651284972827,0.219418808288044,-481.82088120021,1.12607980282938e-06,289,696,11,115,1,62.26309606191,65.9882207638088,61.9999754351072,0.232764751472071,0.0158644230439017,0.124314587257986,62.1315357485086,48.5438112364491,13,-481.82088120021,3796919932.61692,795.25661945343,13.2542769908905,0.220904616514842,215.770710602212,-7.44992988080487e-06,244,557,7,117,1,59.4960005134254,62.2870322240275,57.1842183630577,-1.83680922771065,-1.21878564344973,-1.52779743558019,58.3401094382415,45.5815428665267,13,215.770710602212,1.00844197927544,1.08738972447059,2.30218851460262,37.5218869468685,124.070859323786,1204.57915900277,0.968850625825262
3796919979.45281,842.092506885529,14.0348751147588,0.23391458524598,-483.147413872519,-3.74115938047702e-06,276,655,11,9,2,53.3777641698776,57.5701881057165,53.801289937506,-0.0647892642176471,-0.123703985268017,-0.0942466247428321,53.5895270536918,41.8698790268908,14,-483.147413872519,3796919985.00851,847.648208618164,14.1274701436361,0.235457835727268,225.903791208689,8.45939053538135e-06,232,546,7,13,2,41.6671323433878,45.0390155093834,41.1761338473024,-0.31299275702911,-0.0770141912828182,-0.195003474155964,41.4216330953451,32.3630168458238,14,225.903791208689,1.00843433364207,1.08744812772056,1.35642486264233,120.319018874388,96.4694474072786,936.602570987786,0.871536740767759
3796919992.43785,855.077550888062,14.251292514801,0.23752154191335,-483.526296377709,1.5525974975998e-06,291,674,11,18,2,75.5976054130564,78.8951357520917,75.7611655457532,0.133237281091079,0.406347501578341,0.26979239133471,75.6793854794048,59.1288426874412,15,-483.526296377709,3796919997.68506,860.324763774872,14.3387460629145,0.238979101048576,229.151639720559,5.80686846738437e-06,241,575,7,20,2,49.6994152280594,53.17622709199,48.7405847751524,-0.596690314600442,0.000344298822746165,-0.298173007888848,49.2200000016059,38.4559364314978,15,229.151639720559,1.00843214990639,1.08746684709287,1.23448794094668,261.5674759551,150.487769754203,1461.0556589896,0.820973640295136
