soln_name,density,feedback_freq,feedback_delay
diH2O,0.997,1160109,459
1% NaCl,1.0053,1158877,459
3% NaCl,1.0196,1156493,460
5% NaCl,1.034,1154182,460
7% NaCl,1.0486,1151906,461
9% NaCl,1.0633,1149703,460
12% NaCl,1.0857,1146548,458
14% NaCl,1.1008,1144525,459
16% NaCl,1.1162,1142445,460
