real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,total_volume_au,total_volume_fl,total_density_gcm3
3804689556,0.046456337,0.000774272,1.29E-05,25.8435453,0.000402722,231,367,0,1,0,51.92298855,55.47422108,51.58814667,0.067392714,0.184708553,0.126050634,51.75556761,41.59826902,97.9004068,1191.472652,0.034913323
3804689606,50.30110049,0.838351675,0.013972528,-5.780031021,-0.000547933,214,345,0,5,0,50.82696034,55.60816203,51.12525988,0.393351437,0.208359386,0.300855412,50.97611011,40.9717841,101.6018726,1242.329673,0.0329798
3804689611,55.04299021,0.91738317,0.01528972,12.54718514,0.000754163,229,370,0,7,0,51.41801629,55.10118039,51.2106981,0.095551927,0.344198331,0.219875129,51.3143572,41.24364844,97.72333881,1189.31769,0.034678412
3804689615,59.22762775,0.987127129,0.016452119,-5.906974997,-0.00068375,218,350,0,9,0,50.70666712,55.20865994,51.05242779,0.438701062,0.434180295,0.436440679,50.87954746,40.89417237,94.9959125,1161.555765,0.035206379
3804689619,63.87452793,1.064575466,0.017742924,12.0379676,0.000328888,230,372,0,11,0,51.45279251,54.85148353,51.10014126,0.0856115,0.195557917,0.140584709,51.27646688,41.2131943,95.94925432,1167.726634,0.035293529
3804689624,68.03989005,1.133998168,0.018899969,-6.148102906,-0.000387373,217,351,0,13,0,50.83371395,55.41590151,51.09731104,0.374694738,0.293748177,0.334221458,50.9655125,40.96326632,96.16376745,1175.835628,0.034837579
3804689628,72.50669312,1.208444885,0.020140748,11.19919117,0.000269686,229,365,0,16,0,51.42414356,54.97431766,51.14229577,0.156838141,0.20218576,0.17951195,51.28321967,41.21862181,102.1809235,1243.567621,0.033145461
3804689639,83.04730082,1.38412168,0.023068695,10.06091985,0.000469242,230,367,0,20,0,51.38627891,55.47740341,51.15894414,0.060494573,0.23637276,0.148433667,51.27261152,41.21009557,96.32311887,1172.27666,0.035153899
3804689663,107.0964832,1.784941387,0.029749023,7.001097038,0.000355155,229,369,0,28,0,51.11557081,55.31479815,50.96806583,0.183167608,0.199677584,0.191422596,51.04181832,41.02459673,92.18229523,1121.881792,0.036567664
3804689667,111.1353824,1.852256374,0.03087094,-6.911360219,-0.000321035,213,344,0,30,0,50.81405027,55.49538679,50.84045175,0.550902119,0.246198577,0.398550348,50.82725101,40.85213937,94.54012362,1155.982639,0.035339752
3804689671,115.551981,1.92586635,0.032097772,5.949369021,0.000240867,236,378,0,32,0,51.3371614,54.63754337,50.9666531,0.078293396,0.238838862,0.158566129,51.15190725,41.11308014,96.32701991,1172.324137,0.035069721
3804689675,119.6539469,1.994232448,0.033237207,-7.111389846,-0.000435884,216,352,0,34,0,50.78862853,55.94580197,50.95276992,0.354290955,0.291748473,0.323019714,50.87069923,40.88706065,102.9671702,1259.023752,0.03247521
3804689680,123.9387891,2.065646485,0.034427441,4.614160634,0.000225339,235,373,0,36,0,51.24360721,55.01595142,50.94447576,-0.184567907,0.253644856,0.034538475,51.09404148,41.06657083,95.28018297,1159.583867,0.035414921
3804689684,128.0986285,2.134977142,0.035582952,-7.155276596,-0.000445503,214,348,0,38,0,50.69801597,55.45259441,50.9960429,0.325791586,0.188059492,0.256925539,50.84702943,40.86803617,92.53077192,1131.413434,0.036121222
3804689693,137.0390067,2.283983445,0.038066391,-7.501566164,-0.000383725,219,352,0,40,0,50.7695681,55.34868411,50.8951749,0.280753387,0.291507398,0.286130393,50.8323715,40.85625493,101.8348488,1245.178372,0.032811568
3804689697,141.3908587,2.356514311,0.039275239,0.960184194,0.000104509,231,368,0,42,0,50.99761186,54.89001283,50.90336745,0.065793383,0.316894492,0.191343938,50.95048966,40.95119179,97.35518005,1184.837105,0.034562719
3804689701,145.5931561,2.426552602,0.040442543,-7.59914362,-0.000317269,216,347,0,44,0,50.57915295,55.45753658,50.84166649,0.359444017,0.23599635,0.297720184,50.71040972,40.75822879,101.5501992,1241.697839,0.032824595
3804689705,149.8537483,2.497562472,0.041626041,-1.439050859,0.000210438,231,371,0,46,0,51.06425839,55.01100927,50.87640689,0.187569908,0.241938298,0.214754103,50.97033264,40.96714048,96.7648926,1177.653158,0.034787102
3804689710,153.9914401,2.566524001,0.0427754,-7.725744991,-0.000388058,210,341,0,47,0,50.59161059,55.32991218,51.00743755,0.22562786,0.152225479,0.18892667,50.79952407,40.82985399,94.33001445,1153.413544,0.035399146
