real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,total_volume_au,total_volume_fl,total_density_gcm3
3804677117,1117.942189,18.63236982,0.310539497,50.80778833,2.49E-06,221,355,0,2,0,76.91528802,82.02544432,76.90575498,0.370431514,0.55070755,0.460569532,76.9105215,61.81643274,87.09971676,1229.647859,0.050271655
3804677123,1123.363159,18.72271932,0.312045322,50.33411509,-9.70E-05,228,363,0,3,0,76.78956964,83.4738318,76.7328037,0.443623041,0.48156141,0.462592225,76.76118667,61.69640564,91.79472789,1284.056215,0.048048057
3804677160,1161.100806,19.3516801,0.322528002,51.0177976,-1.47E-05,225,364,0,6,0,76.97906967,83.58855043,76.9417271,0.483477343,0.445320183,0.464398763,76.96039839,61.85652102,87.53086962,1235.734746,0.050056471
3804677166,1166.518001,19.44196669,0.324032778,50.14068361,-0.00020903,224,360,0,7,0,76.87198735,82.76818147,77.01631551,0.372110504,0.057108024,0.214609264,76.94415143,61.84346262,86.84643099,1214.837737,0.050906768
3804677178,1178.444726,19.64074543,0.327345757,50.26009892,-3.03E-06,224,361,0,9,0,76.83635779,82.41133289,76.94021352,0.41704301,0.517195478,0.467119244,76.88828566,61.79856079,88.28069584,1234.900726,0.050043343
3804677209,1209.804303,20.16340504,0.336056751,50.25770473,-8.42E-05,224,362,0,13,0,76.81746548,82.24732921,76.81920526,0.415431701,0.476281027,0.445856364,76.81833537,61.74233861,87.74341585,1227.385069,0.050303967
3804677216,1216.488893,20.27481489,0.337913581,51.39014301,-3.15E-05,224,358,0,14,0,76.80604755,83.20145255,76.84086189,0.509646448,0.403152494,0.456399471,76.82345472,61.74645327,88.16866554,1244.738959,0.049605946
3804677228,1228.256529,20.47094216,0.341182369,51.34220975,-0.000107955,222,358,0,17,0,76.90331406,82.03923201,76.73591518,0.333945116,0.479234163,0.406589639,76.81961462,61.7433668,88.18419264,1244.958166,0.049594732
3804677233,1233.687803,20.56146338,0.342691056,50.39941673,-0.000102805,224,360,0,18,0,76.73901674,82.18969978,76.83843563,0.551570765,0.509289154,0.53042996,76.78872618,61.71854038,83.70211538,1170.853969,0.052712415
3804677239,1240.125693,20.66876154,0.344479359,51.42394018,-4.88E-06,223,360,0,19,0,76.97687466,82.43186135,76.96086537,0.428634795,0.323768405,0.3762016,76.96887002,61.86333005,95.83739969,1353.003864,0.045722952
