real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,total_volume_au,total_volume_fl,total_density_gcm3
3804689857,41.07772994,0.684628832,0.011410481,-6.110391951,-0.000360546,217,351,0,7,0,65.11095356,71.90856953,65.44679122,0.642351584,0.459416581,0.550884083,65.27887239,52.46755509,77.84587406,1065.263198,0.049253138
3804689860,44.72440028,0.745406671,0.012423445,27.99866175,0.000245922,245,388,0,9,0,72.75255192,78.07274674,72.37129786,0.400498488,0.475613654,0.438056071,72.56192489,58.32127077,84.14883645,1114.897643,0.052310875
3804689869,53.59079766,0.893179961,0.014886333,28.50461798,0.000361184,242,387,0,13,0,72.72398632,77.65487603,72.32913766,0.16636272,0.470418051,0.318390385,72.52656199,58.29284802,83.19254507,1102.227629,0.052886397
3804689873,57.72250819,0.962041803,0.01603403,-5.981693621,-0.000411933,226,362,0,15,0,72.02933731,78.25985312,72.31524871,0.72900905,0.388918063,0.558963557,72.17229301,58.00810616,83.11587566,1137.379271,0.05100155
3804689878,62.51702309,1.041950385,0.01736584,28.57610228,0.000352892,239,381,0,17,0,72.68524503,78.33271701,72.29862505,0.18592896,0.357879197,0.271904078,72.49193504,58.26501679,83.01337583,1099.853795,0.052975238
3804689882,66.64390469,1.110731745,0.018512196,-5.924605368,-0.000521167,226,364,0,19,0,71.99180189,78.81569606,72.20805642,0.472467877,0.455271776,0.463869827,72.09992916,57.94994409,92.46911079,1265.371374,0.045796788
3804689887,71.35500669,1.189250112,0.019820835,28.7862508,0.000457543,244,386,0,21,0,72.79198902,77.65695202,72.19298736,0.193763527,0.492799931,0.343281729,72.49248819,58.26546138,86.53542673,1146.517853,0.050819498
3804689891,75.44767451,1.257461242,0.020957687,-6.036668759,-0.000410152,224,358,0,23,0,71.92108546,77.96634932,72.2500146,0.557816832,0.518026632,0.537921732,72.08555003,57.93838694,85.83187626,1174.54573,0.049328336
3804689896,80.36262822,1.339377137,0.022322952,28.56802603,0.000272444,240,385,0,25,0,72.57680487,77.9340335,72.30119411,0.175822475,0.407573606,0.291698041,72.43899949,58.22247011,87.41336789,1158.149797,0.050271968
3804689900,84.5773561,1.409622602,0.02349371,-6.255367303,-0.000507558,231,369,0,27,0,71.76707528,78.53532508,72.10081711,0.514945577,0.382322204,0.448633891,71.93394619,57.81653615,85.35500265,1168.020067,0.049499609
