labels,dry_density_gcm3,dry_volume_fl,avg_buoyant_mass_h2o,avg_buoyant_mass_d2o,avg_density_h2o_gcm3,avg_density_d2o_gcm3,total_volume_fl,water_content,total_density_gcm3,h2o_bm_dmso_scaled,tvol_dmso_scaled,wc_dmso_scaled,tdens_dmso_scaled
Rep1_wnkin11,1.38848149410939,338.907152496816,129.642664221791,99.9130758957077,1.00594998579898,1.09367191231206,2202.72,0.846141519350251,1.06480570246828,0.856075651207817,0.81410857392772,1.06776582275913,1.0026082870238
Rep2_wnkin11,1.38109452673976,350.070195888956,131.295009965007,101.903603102604,1.0060411474265,1.08999975689272,2215.57,0.841995425155172,1.06530129716901,0.866986665468714,0.818857836282886,1.06253376928083,1.00307493305397
Rep3_wnkin11,1.37112933196742,346.267125605677,126.414359877165,97.2093143490262,1.00605176459499,1.09039429488011,2163.78,0.839971195959997,1.06447469108344,0.834758033580068,0.799716645825762,1.05997934699731,1.00229661067123
Rep1_wnk463,1.24718045671015,594.520212590134,143.265531192988,91.8635022430708,1.00620373605531,1.0926634187732,2085.96,0.71498963901986,1.07488459819696,0.946032185067177,0.770954965165916,0.902262189850386,1.01209845443951
Rep2_wnk463,1.27932575916715,520.671879325509,142.384757086685,100.499590381117,1.00586225414527,1.0863067113336,2054.34,0.746550288985509,1.07517150046607,0.940216126972827,0.759268453440597,0.942089314045004,1.01236859817739
Rep3_wnk463,1.35159332962887,380.352481005097,131.420615865134,99.5114158165141,1.00607010465121,1.08996386541833,2063.35,0.815662645210412,1.06976294196196,0.867816084961071,0.762598480975231,1.02930381684351,1.00727596431517
Rep1_dmso,1.28688184360054,537.071908931426,150.713314255849,106.959447869938,1.00626148020132,1.08772890692443,2754.3,0.805006023696974,1.06098076069213,0.995212489821523,1.01796835057071,1.01585597628976,0.999006767691909
Rep2_dmso,1.26382702725156,601.533112998942,155.09355517716,103.375487254422,1.00599657398866,1.0919736661971,2685.03,0.775967824196027,1.06375889142167,1.02413674574968,0.992366684940958,0.979211991480481,1.00162262228906
Rep3_dmso,1.27823897503165,545.319173537704,148.508110927247,102.154008519115,1.00590651702579,1.09091013446218,2677.72,0.796349441488392,1.06136717419952,0.980650764428801,0.98966496448833,1.00493203222976,0.999370610019035
