labels,avg_buoyant_mass_h2o,avg_density_h2o_gcm3,total_volume_fl,total_density_gcm3
data_11_18_2024\00h\2024-11-18_hum_cd8Tact_0h_rep1.csv,9.71165346636871,1.00683954315826,148.307,1.07232298943098
data_11_18_2024\00h\2024-11-18_hum_cd8Tact_0h_rep2.csv,9.86262152793028,1.00686487826014,142.326,1.07616087145837
data_11_18_2024\01h_dmso_300\2024-11-18_hum_cd8Tact_1h_dmso_300mOsmL_rep1.csv,10.0534641146626,1.00816220211304,150.776,1.0748403479364
data_11_18_2024\01h_dmso_300\2024-11-18_hum_cd8Tact_1h_dmso_300mOsmL_rep2.csv,9.17921542419689,1.00810218012052,146.274,1.07085574824744
data_11_18_2024\01h_wnki_250\2024-11-18_hum_cd8Tact_1h_10uMwnk463_250mOsmL_rep1.csv,9.92440010883281,1.00542906995696,131.577,1.08085562709714
data_11_18_2024\01h_wnki_250\2024-11-18_hum_cd8Tact_1h_10uMwnk463_250mOsmL_rep2.csv,8.79178141550971,1.00563057996178,131.31,1.07258497350005
data_11_18_2024\01h_wnki_300\2024-11-18_hum_cd8Tact_1h_10uMwnk463_300mOsmL_rep1.csv,9.62787728388046,1.00794453653312,133.106,1.08027694291511
data_11_18_2024\01h_wnki_300\2024-11-18_hum_cd8Tact_1h_10uMwnk463_300mOsmL_rep2.csv,9.06354070115531,1.0076896202583,134.503,1.07507503694904
data_11_18_2024\24h_dmso_300\2024-11-19_hum_cd8Tact_24h_dmso_300mOsmL_rep1.csv,8.17756961344777,1.00937556650849,203.158,1.04962783131444
data_11_18_2024\24h_dmso_300\2024-11-19_hum_cd8Tact_24h_dmso_300mOsmL_rep2.csv,7.86407881969969,1.00980247088487,200.908,1.04894515718756
data_11_18_2024\24h_wnki_250\2024-11-19_hum_cd8Tact_24h_10uMwnk463_250mOsmL_rep1.csv,7.79198031404028,1.00668911645407,218.119,1.04241264495933
data_11_18_2024\24h_wnki_250\2024-11-19_hum_cd8Tact_24h_10uMwnk463_250mOsmL_rep2.csv,7.71094613799697,1.00672556485985,213.095,1.04291105085435
data_11_18_2024\24h_wnki_300\2024-11-19_hum_cd8Tact_24h_10uMwnk463_300mOsmL_rep1.csv,7.57950312290917,1.00874317085877,201.273,1.04640099442631
data_11_18_2024\24h_wnki_300\2024-11-19_hum_cd8Tact_24h_10uMwnk463_300mOsmL_rep2.csv,7.43964418579853,1.00878845033996,205.18,1.04504756032045
