"time","mass","ND","sample","Vol","ND.V","SNACS","ND.V2","density"
564.9074,14.0194841073206,0.00286148616472695,"AA Man PBS",74.8716689145044,3.82185438926768e-05,0.000236672700403978,5.10454013470948e-07,0.187246849316654
565.4443,14.3979700265622,-0.0714784606471245,"AA Man PBS",76.8929895435183,-0.000929583581955422,-0.000691923751001197,-1.20893151309888e-05,0.187246849316654
566.96965,11.829901045098,-0.149395225953777,"AA Man PBS",63.1781046691601,-0.00236466773949778,-0.00239302276224274,-3.74285957434249e-05,0.187246849316654
568.66765,11.6046844103291,-0.0968760293947891,"AA Man PBS",61.9753253669138,-0.001563138697881,-0.00161482291099471,-2.5221952262884e-05,0.187246849316654
577.40995,14.9198863979469,-0.188928933350789,"AA Man PBS",79.6803067843125,-0.00237108692191915,-0.00207936409336665,-2.97575024194808e-05,0.187246849316654
578.0423,12.3002330089416,-0.246089950734141,"AA Man PBS",65.6899331221357,-0.00374623536724557,-0.00372587079193652,-5.70290634986687e-05,0.187246849316654
580.9386,11.003662110156,-0.0728705410678919,"AA Man PBS",58.7655394486647,-0.00124002164791746,-0.00135396309025846,-2.11011701679467e-05,0.187246849316654
581.7918,13.1537020553758,0.0061656572985937,"AA Man PBS",70.2479219457067,8.77699599905463e-05,0.000196541601138822,1.2494314074996e-06,0.187246849316654
589.3112,12.3395575711701,0.0123884033443066,"AA Man PBS",65.8999476690934,0.000187988060423251,0.000212426092381444,2.85262837183429e-06,0.187246849316654
593.3966,11.1137079403366,-0.147154044955718,"AA Man PBS",59.3532440246413,-0.00247929236849505,-0.00258183465231383,-4.17718089253174e-05,0.187246849316654
600.8724,11.0517059688218,-0.0377419458723001,"AA Man PBS",59.0221197801423,-0.000639454259062349,-0.000748419051583431,-1.08341459345127e-05,0.187246849316654
602.26215,9.85862751845457,-0.13121029407695,"AA Man PBS",52.6504320603153,-0.00249210289341288,-0.00272465338075635,-4.73329998613872e-05,0.187246849316654
605.704,12.0462139128032,-0.0712865696130067,"AA Man PBS",64.3333330134266,-0.00110808139845838,-0.00111402953249779,-1.72240632741214e-05,0.187246849316654
609.78635,10.866789939037,0.00182379159892972,"AA Man PBS",58.0345676239398,3.14259530758939e-05,-9.66934692331276e-05,5.41504044271201e-07,0.187246849316654
613.41285,14.7160762292878,-0.00560428158552848,"AA Man PBS",78.5918496519073,-7.1308686719431e-05,0.000199302352161695,-9.07329284592049e-07,0.187246849316654
615.78475,14.1835488417672,-0.0430543000088675,"AA Man PBS",75.7478638146875,-0.000568389626329228,-0.000352940733054227,-7.50370502486722e-06,0.187246849316654
617.1946,15.3215317232077,-0.131343401255138,"AA Man PBS",81.8253112355306,-0.00160516836748805,-0.00127184088453981,-1.9617015117335e-05,0.187246849316654
617.74875,11.633152723663,0.0141832112000971,"AA Man PBS",62.1273616411571,0.000228292507929409,0.000179557200885293,3.67458881077244e-06,0.187246849316654
619.5136,13.8055664622797,-0.165198635028117,"AA Man PBS",73.729232361785,-0.00224061243737758,-0.00206431705910003,-3.03897431941652e-05,0.187246849316654
619.95015,13.3926131551026,-0.0809081258017656,"AA Man PBS",71.5238371378645,-0.00113120505050383,-0.000997685670217837,-1.58157768902051e-05,0.187246849316654
620.72605,11.4567588300803,-0.0608114791363275,"AA Man PBS",61.1853223266029,-0.00099388998576685,-0.00106089715238075,-1.62439282490258e-05,0.187246849316654
622.0389,12.6086303720217,-0.140149710851251,"AA Man PBS",67.3369427471605,-0.00208131977980484,-0.00202900969212322,-3.09090329155552e-05,0.187246849316654
622.52145,12.2261075271937,-0.0400612407198027,"AA Man PBS",65.2940627402392,-0.000613551049490966,-0.000600864803434311,-9.39673568685517e-06,0.187246849316654
622.8008,7.97208579733589,-0.155142525786449,"AA Man PBS",42.5752733700436,-0.00364395841778926,-0.00407192737853162,-8.55886088180278e-05,0.187246849316654
644.7645,12.9401297933541,-0.0460901601567353,"AA Man PBS",69.1073299261287,-0.000666935912673847,-0.000580287273067186,-9.65072610078784e-06,0.187246849316654
645.80225,13.0419581871376,-0.0314665401792567,"AA Man PBS",69.6511489231111,-0.000451773454792441,-0.000354576864382957,-6.48623119327378e-06,0.187246849316654
650.4365,12.4734391552661,-0.115377315034881,"AA Man PBS",66.6149481328373,-0.00173200337565086,-0.00169369714534466,-2.60002210344299e-05,0.187246849316654
650.6634,10.7251546868049,-0.162980500386303,"AA Man PBS",57.2781583559121,-0.00284542144971881,-0.00298821223840199,-4.96772510044418e-05,0.187246849316654
651.6483,11.7589768185245,-0.0842722179025272,"AA Man PBS",62.7993307307342,-0.00134192859895056,-0.00137763034715027,-2.13685175197865e-05,0.187246849316654
653.34705,9.92506467572628,-0.0360237475847573,"AA Man PBS",53.0052426086058,-0.000679626123980963,-0.000905294681438836,-1.28218661123649e-05,0.187246849316654
655.20245,10.8883859378061,-0.0255804810197256,"AA Man PBS",58.1499020012492,-0.000439905831985341,-0.00056578822075106,-7.5650313559581e-06,0.187246849316654
656.953,13.5679480171798,-0.0237864208638281,"AA Man PBS",72.4602206482791,-0.000328268678331619,-0.000176587138843331,-4.53032954350265e-06,0.187246849316654
658.75595,14.3364594633855,-0.134493690387031,"AA Man PBS",76.5644896867721,-0.00175660663235985,-0.00152531840730192,-2.29428373328966e-05,0.187246849316654
659.5276,11.8355362271318,-0.135391123999149,"AA Man PBS",63.2081996056269,-0.0021419867176077,-0.00216975801688763,-3.38877982757321e-05,0.187246849316654
661.43255,12.1273920986019,-0.0262543033752639,"AA Man PBS",64.7668686702078,-0.000405366260779883,-0.000402905507295366,-6.25885223576276e-06,0.187246849316654
662.21405,12.2611482400867,-0.0966066992345621,"AA Man PBS",65.4811992021923,-0.0014753349115715,-0.00145901895378162,-2.25306642142574e-05,0.187246849316654
663.77245,12.806933007129,-0.0542739858283203,"AA Man PBS",68.3959866554078,-0.000793525884811972,-0.000720674508385006,-1.16019363652126e-05,0.187246849316654
665.0676,15.0336391222213,-0.11436757557602,"AA Man PBS",80.2878081905553,-0.0014244700179706,-0.00112096405020955,-1.77420463962568e-05,0.187246849316654
665.5559,17.881653595464,-0.0240087420578299,"AA Man PBS",95.4977542250886,-0.000251406352459778,0.000347112778460481,-2.63258915876925e-06,0.187246849316654
666.49635,15.5970362921429,-0.0287087170856449,"AA Man PBS",83.2966554527532,-0.000344656300179169,1.72094767665113e-05,-4.13769674551533e-06,0.187246849316654
666.6412,10.9234798705263,-0.0754689880823357,"AA Man PBS",58.3373226860206,-0.00129366560903935,-0.00141591277326644,-2.21756081608687e-05,0.187246849316654
666.7122,10.0082165218364,-0.120524939795223,"AA Man PBS",53.4493186847244,-0.00225493874872662,-0.00247199397595955,-4.21883534573673e-05,0.187246849316654
666.9297,12.3765220876549,0.000681545580458701,"AA Man PBS",66.0973582883893,1.03112378180842e-05,3.85782597744972e-05,1.56000755326639e-07,0.187246849316654
667.8859,12.6622693441547,0.0466243285693043,"AA Man PBS",67.62340402717,0.000689470298634647,0.000747336609076449,1.01957348724656e-05,0.187246849316654
668.6411,13.335392174236,-0.0556520659501735,"AA Man PBS",71.2182459833248,-0.000781429887548817,-0.000653837774389846,-1.09723270597226e-05,0.187246849316654
669.21165,8.10245612753401,-0.0199580684743495,"AA Man PBS",43.2715218285565,-0.000461228716508381,-0.000875693194090568,-1.06589437352305e-05,0.187246849316654
670.82095,12.2707217185623,-0.0407197620957597,"AA Man PBS",65.5323267833001,-0.000621369087510205,-0.000604061455628057,-9.48187128415149e-06,0.187246849316654
671.53445,11.1378390896868,-0.112715351833448,"AA Man PBS",59.4821174846663,-0.00189494518016284,-0.00199498782545542,-3.18573927811385e-05,0.187246849316654
673.37555,12.1070346679393,-0.049822208110128,"AA Man PBS",64.6581489201191,-0.000770548012002015,-0.000770195994294647,-1.1917260621766e-05,0.187246849316654
673.90195,11.1777147188978,-0.0510989525813051,"AA Man PBS",59.6950750289802,-0.000855999469914361,-0.000951911575977943,-1.43395325242292e-05,0.187246849316654
674.7215,9.91321716594766,0.0940687118678769,"AA Man PBS",52.941970463724,0.00177682679817014,0.00154993100982275,3.356178061766e-05,0.187246849316654
675.81315,9.34681582815325,-0.107815021647056,"AA Man PBS",49.9170793114218,-0.00215988241167761,-0.00244544919760953,-4.32694068136994e-05,0.187246849316654
677.5804,10.5718130615901,-0.0801379525559983,"AA Man PBS",56.4592306902429,-0.00141939504977788,-0.00157806981599123,-2.51401769458254e-05,0.187246849316654
678.02415,10.3573372511805,-0.0836135467074878,"AA Man PBS",55.3138132309248,-0.00151162145264542,-0.00169251281496266,-2.73281006018276e-05,0.187246849316654
684.5359,11.9155621290168,-0.19705971347928,"AA Man PBS",63.6355814396981,-0.00309669070386379,-0.00311617247558985,-4.86628806369633e-05,0.187246849316654
685.6002,10.4908154437797,0.00959620732043823,"AA Man PBS",56.0266593647119,0.00017127930576711,4.21435626533022e-06,3.05710366652683e-06,0.187246849316654
685.696,12.7175703867014,-0.0325834465221106,"AA Man PBS",67.9187416670209,-0.000479741610671389,-0.000416146910981225,-7.06346435308497e-06,0.187246849316654
686.20805,11.5583797830947,-0.0774366284515793,"AA Man PBS",61.7280334770722,-0.00125448072925151,-0.00131096143293003,-2.03227068576138e-05,0.187246849316654
686.3252,11.8676462145107,0.0466977922096484,"AA Man PBS",63.3796843996092,0.000736794331685506,0.000712349163306473,1.16250867871164e-05,0.187246849316654
689.0671,10.3775650423566,-0.143288224371999,"AA Man PBS",55.4218406356577,-0.0025854107826186,-0.002764206837937,-4.664967372006e-05,0.187246849316654
690.72635,11.4848297495865,-0.0299177915364709,"AA Man PBS",61.3352363017039,-0.000487774945372466,-0.000551874370177426,-7.95260562742652e-06,0.187246849316654
691.0786,13.4256381873383,0.08540262648947,"AA Man PBS",71.7002087689826,0.00119110708261166,0.00132804737922895,1.66123237722975e-05,0.187246849316654
691.3981,14.200094468656,-0.194247348539068,"AA Man PBS",75.836226459769,-0.00256140577672487,-0.0023442429954866,-3.37754909005618e-05,0.187246849316654
