soln_name,density,feedback_freq,feedback_delay
diH2O,0.997,1160118,459
1% NaCl,1.0053,1158887,460
3% NaCl,1.0196,1156529,460
5% NaCl,1.034,1154188,462
7% NaCl,1.0486,1151953,462
9% NaCl,1.0633,1149791,461
12% NaCl,1.0857,1146602,460
14% NaCl,1.1008,1144593,460
16% NaCl,1.1162,1142533,461
