soln_name,density,feedback_freq,feedback_delay
diH2O,0.997,1160038,459
1% NaCl,1.0053,1158772,460
3% NaCl,1.0196,1156384,461
5% NaCl,1.034,1154080,461
7% NaCl,1.0486,1151847,461
9% NaCl,1.0633,1149609,462
12% NaCl,1.0857,1146487,461
14% NaCl,1.1008,1144500,461
16% NaCl,1.1162,1142452,462
