soln_name,density,feedback_freq,feedback_delay
diH2O,0.997,1160080,460
1% NaCl,1.0053,1158789,462
3% NaCl,1.0196,1156424,462
5% NaCl,1.034,1154093,463
7% NaCl,1.0486,1151874,463
9% NaCl,1.0633,1149691,463
12% NaCl,1.0857,1146530,464
14% NaCl,1.1008,1144514,465
16% NaCl,1.1162,1142443,466
