soln_name,density,feedback_freq,feedback_delay
diH2O,0.997,1160125,460
1% NaCl,1.0053,1158886,461
3% NaCl,1.0196,1156469,463
5% NaCl,1.034,1154168,463
7% NaCl,1.0486,1151927,463
9% NaCl,1.0633,1149725,463
12% NaCl,1.0857,1146499,464
14% NaCl,1.1008,1144527,463
16% NaCl,1.1162,1142501,462
