soln_name,density,feedback_freq,feedback_delay
diH2O,0.997,1160030,460
15% D2O,1.0135,1157258,462
30% D2O,1.03,1154478,463
45% D2O,1.0465,1151525,464
60% D2O,1.063,1148713,464
75% D2O,1.0795,1145891,463
90% D2O,1.096,1143063,465
100% D2O,1.107,1141311,463
