real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num,total_volume_au,total_volume_fl,total_density_gcm3,snacs
3815064391.88106,39.3820128440857,0.656366880734762,0.010939448012246,0.00148405579295604,778.909451351736,56.9380881856406,62.4976081778129,56.9406542731717,0.213605309678848,0.309088408010251,0.261346858844549,56.9393712294061,43.3026020690705,91,185,0,2,0,91.7254547914564,1010.18509013323,1.05846600791481,0.000181983347157005
3815064392.71392,40.2148714065552,0.67024785677592,0.011170797612932,0.00236016429911509,778.438602121311,174.287899896698,188.779693517667,173.429903743745,0.113018631845278,-0.10053777748167,0.00624042718180389,173.858901820222,132.220336809736,122,227,0,10,0,362.682099639504,3994.26800714176,1.04870252005457,0.000148848743053449
3815064392.85517,40.3561184406281,0.672601974010468,0.0112100329001745,-0.00119180336154038,777.988429072102,77.7561723624248,85.2968036480891,78.0303875449034,-0.656646887232453,-0.174756593718317,-0.415701740475385,77.8932799536641,59.2381270263529,109,207,0,11,0,184.015752068571,2026.59086849944,1.04483043222346,-0.000205550656210469
3815064393.04781,40.548760175705,0.675812669595083,0.0112635444932514,0.00157240721669384,778.418567153918,365.951235230446,399.355409016176,363.926529472789,2.31659786139718,2.33298238911894,2.32479012525806,364.938882351618,277.537367568298,130,234,0,12,0,350.205925039548,3856.86617477769,1.08755929415007,0.000739738254770558
3815064393.48182,40.9827728271484,0.683046213785807,0.0113841035630968,-0.000237119342920348,777.579427261683,85.523462175751,92.7293366062607,85.2375995912888,0.143523219508509,-0.459899236543266,-0.158188008517379,85.3805308835199,64.9322090052453,95,189,0,20,0,122.575576240536,1349.9417344313,1.06370000857748,-0.000168404359612713
3815064393.5599,41.0608479976654,0.684347466627757,0.0114057911104626,-0.000366410346862386,777.649751609723,83.5133411861441,91.0733004241663,83.1231603560791,0.0336695989458236,-0.139920531102981,-0.0531254660785788,83.3182507711116,63.3638373647721,110,210,0,21,0,227.84259111273,2509.2618942331,1.04085198246959,1.46353373459639e-05
3815064393.73921,41.2401568889618,0.687335948149363,0.0114555991358227,-0.000429454310646534,777.700526411601,91.6828752691759,100.781074333572,91.5306242595444,0.421557658721819,0.356067008972312,0.388812333847066,91.6067497643601,69.6672714544898,98,195,0,23,0,132.67844144442,1461.20598294109,1.06327792649895,0.000223219623380403
3815064393.93151,41.432464838028,0.690541080633799,0.0115090180105633,0.000799383416174415,778.083482947038,59.3440828310775,65.2901567688847,59.338444745486,0.200985308708918,-0.241014654199552,-0.0200146727453172,59.3412637882818,45.1292502291039,107,206,0,25,0,213.410172023393,2350.31567137981,1.03480135698309,1.5359267109814e-05
3815064394.18641,41.6873579025269,0.694789298375448,0.0115798216395908,0.000461771654746172,778.225595444535,119.068631120885,131.38641541778,118.642604341394,0.324515177128062,-0.0908861975015584,0.116814489813252,118.85561773114,90.3901361598999,116,217,0,27,0,215.697008777683,2375.50092009844,1.05365097922511,7.49403368945322e-05
3815064394.44225,41.9431984424591,0.699053307374318,0.0116508884562386,0.00044502121313629,778.108707208798,85.085558879991,92.655647034573,84.9182754579735,-0.544545920562219,-1.39410465168649,-0.969325286124355,85.0019171689823,64.6442718773051,86,179,0,28,0,59.1132467054568,651.022342565501,1.11489654890577,-0.0015926186652009
3815064394.78724,42.2881903648376,0.704803172747294,0.0117467195457882,-0.00101714855947151,777.729931051427,48.7709137754785,52.8344238496768,48.8159223273055,-0.0584204410859258,0.0883906979490823,0.0149851284315783,48.793418051392,37.1075745981902,101,197,0,30,0,165.282977927584,1820.28424208824,1.0359855934915,-7.68211746464422e-06
3815064395.04392,42.5448760986328,0.709081268310547,0.0118180211385091,0.000106382709755497,777.86384791036,327.005654451985,347.54127447872,326.761617440446,-2.36612660081915,-3.05936337288861,-2.71274498685388,326.883635946215,248.596212157672,118,220,0,32,0,383.687916703483,4225.6079689042,1.07443087451251,-0.000477324367207473
3815064417.83592,65.3368752002716,1.08894792000453,0.0181491320000754,-0.000578572601368338,775.510209484792,111.287956114122,121.287708046044,111.262628670109,-0.376440717562937,-0.451507808321611,-0.413974262942274,111.275292392115,84.6252707491565,107,206,0,55,0,190.925634149313,2102.69035329801,1.05584618775486,-0.000191592587340695
3815064418.51561,66.0165612697601,1.10027602116267,0.0183379336860445,0.000978184290081374,775.657817748078,166.760350906798,175.676705180863,166.145352101986,-5.19746531609191,-4.67601620038065,-4.93674075823628,166.452851504392,126.588008197644,112,212,0,61,0,218.257940979149,2403.70481979722,1.06826370777104,-0.00202592198377712
3815064420.1475,67.6484520435333,1.12747420072556,0.0187912366787593,-0.000652594564776738,775.481817889849,141.678201349352,155.72632286254,141.63739822376,0.302912385697719,0.643497965141833,0.473205175419776,141.657799786556,107.731279810293,101,197,0,65,0,128.100078461829,1410.78383967947,1.09196271183456,0.000288764455754584
