labels,dry_density_gcm3,dry_volume_fl,avg_buoyant_mass_h2o,h2o_bm_n,avg_buoyant_mass_d2o,d2o_bm_n,avg_density_h2o_gcm3,avg_density_d2o_gcm3,total_volume_fl,water_content,total_density_gcm3
Rep1_l1210,1.4628049422773,115.104341547802,52.5901445277066,953,41.9968079469598,1410,1.0059138830824,1.09794635065312,874.422,0.868365226918122,1.06605663398266
Rep2_l1210,1.39984235196411,137.61462938159,54.200091066042,803,41.6022834178107,1538,1.00598821516481,1.09753231701534,866.158,0.841120639211796,1.06856350866327
Rep3_l1210,1.41914050160398,129.274582405901,53.3894027957388,1182,41.5992820782205,1200,1.00614823504918,1.0973503917152,845.672,0.847133897768992,1.06928075308896
Rep4_l1210,1.42584062698727,126.271504942498,52.9943104756532,907,41.3834377208272,1428,1.00615519994032,1.09810684619744,0,-Inf,Inf
Rep5_l1210,1.43298200106494,124.190998242061,53.0061262943107,812,41.6063200288931,1706,1.00617066171974,1.09796319440555,837.783,0.851762331961784,1.06944017935654
